date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,30.47,28.84,258,0.1041758241758241,30.14,28.84,258,0.1041758241758241,28.95,30.26,29.708571428571428,0.4725966769324783,29.6,31.35,30.47714285714286,0.6445079333805575
2012-01-25,31.25,28.84,258,0.1041758241758241,30.47,28.84,258,0.1041758241758241,28.95,30.47,29.835714285714285,0.5462251410928526,29.58,31.35,30.344285714285718,0.7271601644492816
2012-01-26,32.93,28.84,258,0.1041758241758241,31.25,28.84,258,0.1041758241758241,28.95,31.25,30.054285714285715,0.7574707286502274,29.58,31.35,30.204285714285714,0.741459307556326
2012-01-27,34.79,28.84,258,0.1041758241758241,32.93,28.84,258,0.1041758241758241,29.3,32.93,30.622857142857146,1.1711776734796235,28.95,31.35,29.907142857142855,0.7715722970168195
2012-01-30,36.28,28.84,258,0.1041758241758241,34.79,28.84,258,0.1041758241758241,30.01,34.79,31.407142857142855,1.8045933455649066,28.95,30.45,29.614285714285717,0.45796132088700775
2012-01-31,35.88,28.84,258,0.1041758241758241,36.28,28.84,258,0.1041758241758241,30.01,36.28,32.26714285714286,2.476251968100946,28.95,30.26,29.587142857142858,0.4024389927146036
2012-02-01,37.7,28.84,258,0.1041758241758241,35.88,28.84,258,0.1041758241758241,30.14,36.28,33.105714285714285,2.5763854340455175,28.95,30.26,29.631428571428568,0.4328367117604757
2012-02-02,38.83,28.84,258,0.1041758241758241,37.7,28.84,258,0.1041758241758241,30.47,37.7,34.18571428571429,2.707205552735497,28.95,30.26,29.708571428571428,0.4725966769324783
2012-02-03,39.83,28.84,258,0.1041758241758241,38.83,28.84,258,0.1041758241758241,31.25,38.83,35.38,2.6379411163506514,28.95,30.47,29.835714285714285,0.5462251410928526
2012-02-06,39.39,28.84,258,0.1041758241758241,39.83,28.84,258,0.1041758241758241,32.93,39.83,36.605714285714285,2.3798239230585705,28.95,31.25,30.054285714285715,0.7574707286502274
2012-02-07,40.89,28.84,258,0.1041758241758241,39.39,28.84,258,0.1041758241758241,34.79,39.83,37.528571428571425,1.92618300075069,29.3,32.93,30.622857142857146,1.1711776734796235
2012-02-08,40.42,28.84,258,0.1041758241758241,40.89,28.84,258,0.1041758241758241,35.88,40.89,38.4,1.8594264348628142,30.01,34.79,31.407142857142855,1.8045933455649066
2012-02-09,40.45,28.84,258,0.1041758241758241,40.42,28.84,258,0.1041758241758241,35.88,40.89,38.99142857142857,1.7263779865316042,30.01,36.28,32.26714285714286,2.476251968100946
2012-02-10,39.23,28.84,258,0.1041758241758241,40.45,28.84,258,0.1041758241758241,37.7,40.89,39.644285714285715,1.1064335669597145,30.14,36.28,33.105714285714285,2.5763854340455175
2012-02-13,40.34,28.84,258,0.1041758241758241,39.23,28.84,258,0.1041758241758241,38.83,40.89,39.862857142857145,0.7530098336169108,30.47,37.7,34.18571428571429,2.707205552735497
2012-02-14,39.32,28.84,258,0.1041758241758241,40.34,28.84,258,0.1041758241758241,39.23,40.89,40.07857142857143,0.6106397893856128,31.25,38.83,35.38,2.6379411163506514
2012-02-15,39.44,28.84,258,0.1041758241758241,39.32,28.84,258,0.1041758241758241,39.23,40.89,40.00571428571429,0.6725289868066604,32.93,39.83,36.605714285714285,2.3798239230585705
2012-02-16,39.74,28.84,258,0.1041758241758241,39.44,28.84,258,0.1041758241758241,39.23,40.89,40.01285714285715,0.66512440655146,34.79,39.83,37.528571428571425,1.92618300075069
2012-02-17,39.4,28.84,258,0.1041758241758241,39.74,28.84,258,0.1041758241758241,39.23,40.45,39.848571428571425,0.5432135421553047,35.88,40.89,38.4,1.8594264348628142
2012-02-21,40.37,28.84,258,0.1041758241758241,39.4,28.84,258,0.1041758241758241,39.23,40.45,39.70285714285715,0.4994234771451714,35.88,40.89,38.99142857142857,1.7263779865316042
2012-02-22,40.26,28.84,258,0.1041758241758241,40.37,28.84,258,0.1041758241758241,39.23,40.37,39.691428571428574,0.4800148807216803,37.7,40.89,39.644285714285715,1.1064335669597145
2012-02-23,40.71,28.84,258,0.1041758241758241,40.26,28.84,258,0.1041758241758241,39.32,40.37,39.83857142857143,0.47280822650158894,38.83,40.89,39.862857142857145,0.7530098336169108
2012-02-24,41.1,28.84,258,0.1041758241758241,40.71,28.84,258,0.1041758241758241,39.32,40.71,39.89142857142857,0.5522206253369896,39.23,40.89,40.07857142857143,0.6106397893856128
2012-02-27,40.56,28.84,258,0.1041758241758241,41.1,28.84,258,0.1041758241758241,39.4,41.1,40.145714285714284,0.6469378420130654,39.23,40.89,40.00571428571429,0.6725289868066604
2012-02-28,40.34,28.84,258,0.1041758241758241,40.56,28.84,258,0.1041758241758241,39.4,41.1,40.30571428571428,0.5781538763701665,39.23,40.89,40.01285714285715,0.66512440655146
2012-02-29,40.68,28.84,258,0.1041758241758241,40.34,28.84,258,0.1041758241758241,39.4,41.1,40.39142857142857,0.5220609342285257,39.23,40.45,39.848571428571425,0.5432135421553047
2012-03-01,40.73,28.84,258,0.1041758241758241,40.68,28.84,258,0.1041758241758241,40.26,41.1,40.57428571428572,0.28912841108263976,39.23,40.45,39.70285714285715,0.4994234771451714
2012-03-02,40.24,28.84,258,0.1041758241758241,40.73,28.84,258,0.1041758241758241,40.26,41.1,40.62571428571429,0.2785592182914973,39.23,40.37,39.691428571428574,0.4800148807216803
2012-03-05,38.94,28.84,258,0.1041758241758241,40.24,28.84,258,0.1041758241758241,40.24,41.1,40.62285714285714,0.28300260809824357,39.32,40.37,39.83857142857143,0.47280822650158894
2012-03-06,37.82,28.84,258,0.1041758241758241,38.94,28.84,258,0.1041758241758241,38.94,41.1,40.370000000000005,0.6900966115938214,39.32,40.71,39.89142857142857,0.5522206253369896
2012-03-07,37.52,28.84,258,0.1041758241758241,37.82,28.84,258,0.1041758241758241,37.82,40.73,39.901428571428575,1.1022768643649556,39.4,41.1,40.145714285714284,0.6469378420130654
2012-03-08,37.32,28.84,258,0.1041758241758241,37.52,28.84,258,0.1041758241758241,37.52,40.73,39.46714285714285,1.3667078971713147,39.4,41.1,40.30571428571428,0.5781538763701665
2012-03-09,38.32,28.84,258,0.1041758241758241,37.32,28.84,258,0.1041758241758241,37.32,40.73,39.035714285714285,1.513977731483704,39.4,41.1,40.39142857142857,0.5220609342285257
2012-03-12,37.7,28.84,258,0.1041758241758241,38.32,28.84,258,0.1041758241758241,37.32,40.73,38.69857142857143,1.3395077276301675,40.26,41.1,40.57428571428572,0.28912841108263976
2012-03-13,37.8,28.84,258,0.1041758241758241,37.7,28.84,258,0.1041758241758241,37.32,40.24,38.26571428571429,1.0266914035362495,40.26,41.1,40.62571428571429,0.2785592182914973
2012-03-14,38.05,28.84,258,0.1041758241758241,37.8,28.84,258,0.1041758241758241,37.32,38.94,37.917142857142856,0.5466782809451526,40.24,41.1,40.62285714285714,0.28300260809824357
2012-03-15,39.79,28.84,258,0.1041758241758241,38.05,28.84,258,0.1041758241758241,37.32,38.32,37.790000000000006,0.3294945624235333,38.94,41.1,40.370000000000005,0.6900966115938214
2012-03-16,40.07,28.84,258,0.1041758241758241,39.79,28.84,258,0.1041758241758241,37.32,39.79,38.07142857142857,0.8262450921978005,37.82,40.73,39.901428571428575,1.1022768643649556
2012-03-19,40.18,28.84,258,0.1041758241758241,40.07,28.84,258,0.1041758241758241,37.32,40.07,38.43571428571429,1.0690627849173444,37.52,40.73,39.46714285714285,1.3667078971713147
2012-03-20,39.82,28.84,258,0.1041758241758241,40.18,28.84,258,0.1041758241758241,37.7,40.18,38.84428571428572,1.1170326337049783,37.32,40.73,39.035714285714285,1.513977731483704
2012-03-21,39.96,28.84,258,0.1041758241758241,39.82,28.84,258,0.1041758241758241,37.7,40.18,39.058571428571426,1.1432618331106772,37.32,40.73,38.69857142857143,1.3395077276301675
2012-03-22,39.58,28.84,258,0.1041758241758241,39.96,28.84,258,0.1041758241758241,37.8,40.18,39.38142857142857,1.0066020162147362,37.32,40.24,38.26571428571429,1.0266914035362495
2012-03-23,39.64,28.84,258,0.1041758241758241,39.58,28.84,258,0.1041758241758241,38.05,40.18,39.635714285714286,0.7263345680620217,37.32,38.94,37.917142857142856,0.5466782809451526
2012-03-26,40.18,28.84,258,0.1041758241758241,39.64,28.84,258,0.1041758241758241,39.58,40.18,39.862857142857145,0.21975094127307288,37.32,38.32,37.790000000000006,0.3294945624235333
2012-03-27,39.81,28.84,258,0.1041758241758241,40.18,28.84,258,0.1041758241758241,39.58,40.18,39.91857142857143,0.24606425796433973,37.32,39.79,38.07142857142857,0.8262450921978005
2012-03-28,39.58,28.84,258,0.1041758241758241,39.81,28.84,258,0.1041758241758241,39.58,40.18,39.88142857142857,0.23891620368002753,37.32,40.07,38.43571428571429,1.0690627849173444
2012-03-29,38.71,28.84,258,0.1041758241758241,39.58,28.84,258,0.1041758241758241,39.58,40.18,39.79571428571428,0.22089644201563421,37.7,40.18,38.84428571428572,1.1170326337049783
2012-03-30,38.65,28.84,258,0.1041758241758241,38.71,28.84,258,0.1041758241758241,38.71,40.18,39.637142857142855,0.46456841210282923,37.7,40.18,39.058571428571426,1.1432618331106772
2012-04-02,38.93,28.84,250,0.1523076923076923,38.65,28.84,258,0.1041758241758241,38.65,40.18,39.45,0.5656854249491878,37.8,40.18,39.38142857142857,1.0066020162147362
2012-04-03,39.89,28.84,250,0.1523076923076923,38.93,28.84,250,0.1523076923076923,38.65,40.18,39.357142857142854,0.5934563810343804,38.05,40.18,39.635714285714286,0.7263345680620217
2012-04-04,38.77,28.84,250,0.1523076923076923,39.89,28.84,250,0.1523076923076923,38.65,40.18,39.392857142857146,0.6202342107546327,39.58,40.18,39.862857142857145,0.21975094127307288
2012-04-05,37.41,28.84,250,0.1523076923076923,38.77,28.84,250,0.1523076923076923,38.65,39.89,39.191428571428574,0.5465780996779621,39.58,40.18,39.91857142857143,0.24606425796433973
2012-04-09,36.46,28.84,250,0.1523076923076923,37.41,28.84,250,0.1523076923076923,37.41,39.89,38.848571428571425,0.7916739348037088,39.58,40.18,39.88142857142857,0.23891620368002753
2012-04-10,36.04,28.84,250,0.1523076923076923,36.46,28.84,250,0.1523076923076923,36.46,39.89,38.402857142857144,1.1210220676643532,39.58,40.18,39.79571428571428,0.22089644201563421
2012-04-11,37.16,28.84,250,0.1523076923076923,36.04,28.84,250,0.1523076923076923,36.04,39.89,38.02142857142858,1.414831304095163,38.71,40.18,39.637142857142855,0.46456841210282923
2012-04-12,37.74,28.84,250,0.1523076923076923,37.16,28.84,250,0.1523076923076923,36.04,39.89,37.80857142857143,1.4165854318445803,38.65,40.18,39.45,0.5656854249491878
2012-04-13,37.32,28.84,250,0.1523076923076923,37.74,28.84,250,0.1523076923076923,36.04,39.89,37.63857142857143,1.3282247371514244,38.65,40.18,39.357142857142854,0.5934563810343804
2012-04-16,37.6,28.84,250,0.1523076923076923,37.32,28.84,250,0.1523076923076923,36.04,38.77,37.27142857142858,0.8826178593900788,38.65,40.18,39.392857142857146,0.6202342107546327
2012-04-17,38.21,28.84,250,0.1523076923076923,37.6,28.84,250,0.1523076923076923,36.04,37.74,37.104285714285716,0.6246027308846968,38.65,39.89,39.191428571428574,0.5465780996779621
2012-04-18,37.55,28.84,250,0.1523076923076923,38.21,28.84,250,0.1523076923076923,36.04,38.21,37.21857142857143,0.7503872016372577,37.41,39.89,38.848571428571425,0.7916739348037088
2012-04-19,37.5,28.84,250,0.1523076923076923,37.55,28.84,250,0.1523076923076923,36.04,38.21,37.37428571428571,0.6761621389099434,36.46,39.89,38.402857142857144,1.1210220676643532
2012-04-20,37.83,28.84,250,0.1523076923076923,37.5,28.84,250,0.1523076923076923,37.16,38.21,37.582857142857144,0.335197170121051,36.04,39.89,38.02142857142858,1.414831304095163
2012-04-23,38.56,28.84,250,0.1523076923076923,37.83,28.84,250,0.1523076923076923,37.32,38.21,37.67857142857143,0.286439555661627,36.04,39.89,37.80857142857143,1.4165854318445803
2012-04-24,40.16,28.84,250,0.1523076923076923,38.56,28.84,250,0.1523076923076923,37.32,38.56,37.79571428571428,0.44146940788150274,36.04,39.89,37.63857142857143,1.3282247371514244
