date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,21.39,30.78,296,0.1041758241758241,21.16,30.78,296,0.1041758241758241,21.08,21.83,21.33285714285714,0.24763644627519782,20.92,21.83,21.330000000000002,0.4037738641038239
2012-01-25,21.33,30.78,296,0.1041758241758241,21.39,30.78,296,0.1041758241758241,21.08,21.44,21.270000000000003,0.12675435561220771,20.92,21.83,21.347142857142853,0.42460626018757147
2012-01-26,21.49,30.78,296,0.1041758241758241,21.33,30.78,296,0.1041758241758241,21.08,21.44,21.28142857142857,0.12824827112915974,20.99,21.83,21.39428571428571,0.38582626240563844
2012-01-27,22.18,30.78,296,0.1041758241758241,21.49,30.78,296,0.1041758241758241,21.16,21.49,21.34,0.11372481406154585,20.99,21.83,21.407142857142855,0.3713360690674632
2012-01-30,21.83,30.78,296,0.1041758241758241,22.18,30.78,296,0.1041758241758241,21.16,22.18,21.474285714285713,0.3283726106552927,21.08,21.83,21.442857142857143,0.3347493731990286
2012-01-31,21.37,30.78,296,0.1041758241758241,21.83,30.78,296,0.1041758241758241,21.16,22.18,21.53,0.35369478367655016,21.08,21.83,21.48428571428571,0.30945420462792966
2012-02-01,22.72,30.78,296,0.1041758241758241,21.37,30.78,296,0.1041758241758241,21.16,22.18,21.535714285714285,0.35023121614428687,21.08,21.83,21.428571428571427,0.2946992009619616
2012-02-02,23.08,30.78,296,0.1041758241758241,22.72,30.78,296,0.1041758241758241,21.33,22.72,21.75857142857143,0.5243544784281194,21.08,21.83,21.33285714285714,0.24763644627519782
2012-02-03,23.66,30.78,296,0.1041758241758241,23.08,30.78,296,0.1041758241758241,21.33,23.08,21.999999999999996,0.689444220610591,21.08,21.44,21.270000000000003,0.12675435561220771
2012-02-06,23.36,30.78,296,0.1041758241758241,23.66,30.78,296,0.1041758241758241,21.37,23.66,22.33285714285714,0.854706855900799,21.08,21.44,21.28142857142857,0.12824827112915974
2012-02-07,23.23,30.78,296,0.1041758241758241,23.36,30.78,296,0.1041758241758241,21.37,23.66,22.599999999999998,0.8394641147780082,21.16,21.49,21.34,0.11372481406154585
