date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,290.46,19.49,10645,0.1041758241758241,292.76,19.49,10645,0.1041758241758241,292.76,319.79,309.0885714285714,11.297970951416408,311.23,334.14,322.44714285714286,10.262539832298984
2012-01-25,284.74,19.49,10645,0.1041758241758241,290.46,19.49,10645,0.1041758241758241,290.46,319.79,305.6085714285714,12.879353540416918,311.23,334.14,319.89285714285717,9.480681611019502
2012-01-26,284.05,19.49,10645,0.1041758241758241,284.74,19.49,10645,0.1041758241758241,284.74,319.79,301.64285714285717,14.56699318583603,311.23,329.5,316.8014285714286,7.349316132746467
2012-01-27,289.99,19.49,10645,0.1041758241758241,284.05,19.49,10645,0.1041758241758241,284.05,319.79,297.3228571428572,14.674838686547595,311.23,325.01,314.62857142857143,4.762336361393193
2012-01-30,288.85,19.49,10645,0.1041758241758241,289.99,19.49,10645,0.1041758241758241,284.05,319.79,293.5414285714286,12.10751478569069,311.23,316.46,313.40714285714284,1.8804229514103483
2012-01-31,290.06,19.49,10645,0.1041758241758241,288.85,19.49,10645,0.1041758241758241,284.05,293.0,289.12142857142857,3.554778139216638,311.57,319.79,314.63,2.7913318207145217
2012-02-01,290.42,19.49,10645,0.1041758241758241,290.06,19.49,10645,0.1041758241758241,284.05,292.76,288.7014285714286,3.17336534597776,293.0,319.79,311.9771428571429,8.717596599762524
2012-02-02,292.56,19.49,10645,0.1041758241758241,290.42,19.49,10645,0.1041758241758241,284.05,290.46,288.3671428571429,2.7725061724359614,292.76,319.79,309.0885714285714,11.297970951416408
2012-02-03,298.17,19.49,10645,0.1041758241758241,292.56,19.49,10645,0.1041758241758241,284.05,292.56,288.6671428571429,3.1275854066988256,290.46,319.79,305.6085714285714,12.879353540416918
2012-02-06,304.54,19.49,10645,0.1041758241758241,298.17,19.49,10645,0.1041758241758241,284.05,298.17,290.5857142857143,4.238831824701215,284.74,319.79,301.64285714285717,14.56699318583603
2012-02-07,303.38,19.49,10645,0.1041758241758241,304.54,19.49,10645,0.1041758241758241,288.85,304.54,293.5128571428572,5.771128469331437,284.05,319.79,297.3228571428572,14.674838686547595
2012-02-08,304.92,19.49,10645,0.1041758241758241,303.38,19.49,10645,0.1041758241758241,288.85,304.54,295.42571428571426,6.572320384620555,284.05,319.79,293.5414285714286,12.10751478569069
2012-02-09,305.73,19.49,10645,0.1041758241758241,304.92,19.49,10645,0.1041758241758241,290.06,304.92,297.7214285714286,6.698030627409642,284.05,293.0,289.12142857142857,3.554778139216638
2012-02-10,302.96,19.49,10645,0.1041758241758241,305.73,19.49,10645,0.1041758241758241,290.42,305.73,299.96000000000004,6.3185309474067,284.05,292.76,288.7014285714286,3.17336534597776
2012-02-13,306.1,19.49,10645,0.1041758241758241,302.96,19.49,10645,0.1041758241758241,292.56,305.73,301.75142857142856,4.744591406965422,284.05,290.46,288.3671428571429,2.7725061724359614
2012-02-14,304.88,19.49,10645,0.1041758241758241,306.1,19.49,10645,0.1041758241758241,298.17,306.1,303.6857142857143,2.6865210287837407,284.05,292.56,288.6671428571429,3.1275854066988256
2012-02-15,302.78,19.49,10645,0.1041758241758241,304.88,19.49,10645,0.1041758241758241,302.96,306.1,304.6442857142857,1.1456854882981615,284.05,298.17,290.5857142857143,4.238831824701215
2012-02-16,303.26,19.49,10645,0.1041758241758241,302.78,19.49,10645,0.1041758241758241,302.78,306.1,304.39285714285717,1.3476982140643827,288.85,304.54,293.5128571428572,5.771128469331437
2012-02-17,302.32,19.49,10645,0.1041758241758241,303.26,19.49,10645,0.1041758241758241,302.78,306.1,304.3757142857143,1.3634008598954905,288.85,304.54,295.42571428571426,6.572320384620555
2012-02-21,307.0,19.49,10645,0.1041758241758241,302.32,19.49,10645,0.1041758241758241,302.32,306.1,304.0042857142857,1.5339041380620486,290.06,304.92,297.7214285714286,6.698030627409642
2012-02-22,303.97,19.49,10645,0.1041758241758241,307.0,19.49,10645,0.1041758241758241,302.32,307.0,304.1857142857143,1.8203924223722965,290.42,305.73,299.96000000000004,6.3185309474067
2012-02-23,303.06,19.49,10645,0.1041758241758241,303.97,19.49,10645,0.1041758241758241,302.32,307.0,304.33,1.7455371666056978,292.56,305.73,301.75142857142856,4.744591406965422
2012-02-24,304.95,19.49,10645,0.1041758241758241,303.06,19.49,10645,0.1041758241758241,302.32,307.0,303.8957142857143,1.6042221078861152,298.17,306.1,303.6857142857143,2.6865210287837407
2012-02-27,304.65,19.49,10645,0.1041758241758241,304.95,19.49,10645,0.1041758241758241,302.32,307.0,303.9057142857143,1.611581595234083,302.96,306.1,304.6442857142857,1.1456854882981615
2012-02-28,309.2,19.49,10645,0.1041758241758241,304.65,19.49,10645,0.1041758241758241,302.32,307.0,304.17285714285714,1.5475972159638363,302.78,306.1,304.39285714285717,1.3476982140643827
2012-02-29,309.12,19.49,10645,0.1041758241758241,309.2,19.49,10645,0.1041758241758241,302.32,309.2,305.0214285714286,2.3723647033531257,302.78,306.1,304.3757142857143,1.3634008598954905
2012-03-01,311.2,19.49,10645,0.1041758241758241,309.12,19.49,10645,0.1041758241758241,303.06,309.2,305.99285714285713,2.471960856524931,302.32,306.1,304.0042857142857,1.5339041380620486
2012-03-02,310.62,19.49,10645,0.1041758241758241,311.2,19.49,10645,0.1041758241758241,303.06,311.2,306.59285714285716,3.168689078497781,302.32,307.0,304.1857142857143,1.8203924223722965
2012-03-05,307.12,19.49,10645,0.1041758241758241,310.62,19.49,10645,0.1041758241758241,303.06,311.2,307.54285714285714,3.247166530406262,302.32,307.0,304.33,1.7455371666056978
2012-03-06,302.48,19.49,10645,0.1041758241758241,307.12,19.49,10645,0.1041758241758241,304.65,311.2,308.1228571428572,2.6138267877176453,302.32,307.0,303.8957142857143,1.6042221078861152
2012-03-07,303.4,19.49,10645,0.1041758241758241,302.48,19.49,10645,0.1041758241758241,302.48,311.2,307.77,3.2118478585802697,302.32,307.0,303.9057142857143,1.611581595234083
2012-03-08,303.57,19.49,10645,0.1041758241758241,303.4,19.49,10645,0.1041758241758241,302.48,311.2,307.59142857142854,3.440811089319062,302.32,307.0,304.17285714285714,1.5475972159638363
2012-03-09,300.12,19.49,10645,0.1041758241758241,303.57,19.49,10645,0.1041758241758241,302.48,311.2,306.7871428571429,3.6535677279691425,302.32,309.2,305.0214285714286,2.3723647033531257
2012-03-12,302.58,19.49,10645,0.1041758241758241,300.12,19.49,10645,0.1041758241758241,300.12,311.2,305.50142857142856,4.23336914120602,303.06,309.2,305.99285714285713,2.471960856524931
2012-03-13,308.89,19.49,10645,0.1041758241758241,302.58,19.49,10645,0.1041758241758241,300.12,310.62,304.27000000000004,3.4874680404750777,303.06,311.2,306.59285714285716,3.168689078497781
2012-03-14,308.0,19.49,10645,0.1041758241758241,308.89,19.49,10645,0.1041758241758241,300.12,308.89,304.0228571428571,2.9880021992727754,303.06,311.2,307.54285714285714,3.247166530406262
2012-03-15,310.56,19.49,10645,0.1041758241758241,308.0,19.49,10645,0.1041758241758241,300.12,308.89,304.1485714285714,3.1539310316464912,304.65,311.2,308.1228571428572,2.6138267877176453
2012-03-16,312.52,19.49,10645,0.1041758241758241,310.56,19.49,10645,0.1041758241758241,300.12,310.56,305.30285714285714,3.8444623130148736,302.48,311.2,307.77,3.2118478585802697
2012-03-19,316.99,19.49,10645,0.1041758241758241,312.52,19.49,10645,0.1041758241758241,300.12,312.52,306.60571428571427,4.569164245763377,302.48,311.2,307.59142857142854,3.440811089319062
2012-03-20,316.74,19.49,10645,0.1041758241758241,316.99,19.49,10645,0.1041758241758241,300.12,316.99,308.5228571428571,5.746786679776514,302.48,311.2,306.7871428571429,3.6535677279691425
2012-03-21,319.99,19.49,10645,0.1041758241758241,316.74,19.49,10645,0.1041758241758241,302.58,316.99,310.8971428571428,5.092578633939359,300.12,311.2,305.50142857142856,4.23336914120602
2012-03-22,323.02,19.49,10645,0.1041758241758241,319.99,19.49,10645,0.1041758241758241,308.0,319.99,313.38428571428574,4.579122394603487,300.12,310.62,304.27000000000004,3.4874680404750777
2012-03-23,321.3,19.49,10645,0.1041758241758241,323.02,19.49,10645,0.1041758241758241,308.0,323.02,315.40285714285716,5.321906657973886,300.12,308.89,304.0228571428571,2.9880021992727754
2012-03-26,324.67,19.49,10645,0.1041758241758241,321.3,19.49,10645,0.1041758241758241,310.56,323.02,317.30285714285714,4.557779848001948,300.12,308.89,304.1485714285714,3.1539310316464912
2012-03-27,323.51,19.49,10645,0.1041758241758241,324.67,19.49,10645,0.1041758241758241,312.52,324.67,319.31857142857143,4.183441281095713,300.12,310.56,305.30285714285714,3.8444623130148736
2012-03-28,327.88,19.49,10645,0.1041758241758241,323.51,19.49,10645,0.1041758241758241,316.74,324.67,320.8885714285714,3.138478551630026,300.12,312.52,306.60571428571427,4.569164245763377
2012-03-29,324.2,19.49,10645,0.1041758241758241,327.88,19.49,10645,0.1041758241758241,316.74,327.88,322.44428571428574,3.5552724093598544,300.12,316.99,308.5228571428571,5.746786679776514
2012-03-30,320.62,19.49,10645,0.1041758241758241,324.2,19.49,10645,0.1041758241758241,319.99,327.88,323.50999999999993,2.530915512878005,302.58,316.99,310.8971428571428,5.092578633939359
2012-04-02,323.46,17.25,11807,0.1523076923076923,320.62,19.49,10645,0.1041758241758241,320.62,327.88,323.59999999999997,2.392286214759124,308.0,319.99,313.38428571428574,4.579122394603487
2012-04-03,321.31,17.25,11807,0.1523076923076923,323.46,17.25,11807,0.1523076923076923,320.62,327.88,323.66285714285715,2.3802570889542567,308.0,323.02,315.40285714285716,5.321906657973886
2012-04-04,317.58,17.25,11807,0.1523076923076923,321.31,17.25,11807,0.1523076923076923,320.62,327.88,323.6642857142857,2.3786050333662145,310.56,323.02,317.30285714285714,4.557779848001948
2012-04-05,316.16,17.25,11807,0.1523076923076923,317.58,17.25,11807,0.1523076923076923,317.58,327.88,322.65142857142854,3.2345140210508254,312.52,324.67,319.31857142857143,4.183441281095713
2012-04-09,315.42,17.25,11807,0.1523076923076923,316.16,17.25,11807,0.1523076923076923,316.16,327.88,321.6014285714286,4.009498840550342,316.74,324.67,320.8885714285714,3.138478551630026
2012-04-10,313.43,17.25,11807,0.1523076923076923,315.42,17.25,11807,0.1523076923076923,315.42,324.2,319.82142857142856,3.489682070386177,316.74,327.88,322.44428571428574,3.5552724093598544
2012-04-11,317.98,17.25,11807,0.1523076923076923,313.43,17.25,11807,0.1523076923076923,313.43,323.46,318.28285714285715,3.6096016136850486,319.99,327.88,323.50999999999993,2.530915512878005
2012-04-12,325.5,17.25,11807,0.1523076923076923,317.98,17.25,11807,0.1523076923076923,313.43,323.46,317.9057142857143,3.459507947394995,320.62,327.88,323.59999999999997,2.392286214759124
2012-04-13,312.3,17.25,11807,0.1523076923076923,325.5,17.25,11807,0.1523076923076923,313.43,325.5,318.19714285714286,4.042230054007035,320.62,327.88,323.66285714285715,2.3802570889542567
2012-04-16,303.04,17.25,11807,0.1523076923076923,312.3,17.25,11807,0.1523076923076923,312.3,325.5,316.91,4.311360960685994,320.62,327.88,323.6642857142857,2.3786050333662145
2012-04-17,304.79,17.25,11807,0.1523076923076923,303.04,17.25,11807,0.1523076923076923,303.04,325.5,314.8328571428571,6.748497892829021,317.58,327.88,322.65142857142854,3.2345140210508254
2012-04-18,303.73,17.25,11807,0.1523076923076923,304.79,17.25,11807,0.1523076923076923,303.04,325.5,313.2085714285714,7.6798750609873085,316.16,327.88,321.6014285714286,4.009498840550342
2012-04-19,299.65,17.25,11807,0.1523076923076923,303.73,17.25,11807,0.1523076923076923,303.04,325.5,311.5385714285714,8.359759622882386,315.42,324.2,319.82142857142856,3.489682070386177
2012-04-20,298.03,17.25,11807,0.1523076923076923,299.65,17.25,11807,0.1523076923076923,299.65,325.5,309.57000000000005,9.398113285831737,313.43,323.46,318.28285714285715,3.6096016136850486
2012-04-23,298.8,17.25,11807,0.1523076923076923,298.03,17.25,11807,0.1523076923076923,298.03,325.5,306.71999999999997,9.447514664361568,313.43,323.46,317.9057142857143,3.459507947394995
2012-04-24,300.64,17.25,11807,0.1523076923076923,298.8,17.25,11807,0.1523076923076923,298.03,312.3,302.9057142857143,4.894380645674713,313.43,325.5,318.19714285714286,4.042230054007035
2012-04-25,304.86,17.25,11807,0.1523076923076923,300.64,17.25,11807,0.1523076923076923,298.03,304.79,301.24000000000007,2.620063612458017,312.3,325.5,316.91,4.311360960685994
2012-04-26,307.74,17.25,11807,0.1523076923076923,304.86,17.25,11807,0.1523076923076923,298.03,304.86,301.5,2.903434747557898,303.04,325.5,314.8328571428571,6.748497892829021
2012-04-27,307.49,17.25,11807,0.1523076923076923,307.74,17.25,11807,0.1523076923076923,298.03,307.74,301.9214285714285,3.5928142570563804,303.04,325.5,313.2085714285714,7.6798750609873085
2012-04-30,302.42,17.25,11807,0.1523076923076923,307.49,17.25,11807,0.1523076923076923,298.03,307.74,302.4585714285714,4.1466509722555225,303.04,325.5,311.5385714285714,8.359759622882386
2012-05-01,302.21,17.25,11807,0.1523076923076923,302.42,17.25,11807,0.1523076923076923,298.03,307.74,302.8542857142857,3.962019086032859,299.65,325.5,309.57000000000005,9.398113285831737
2012-05-02,303.63,17.25,11807,0.1523076923076923,302.21,17.25,11807,0.1523076923076923,298.8,307.74,303.45142857142855,3.387006685217458,298.03,325.5,306.71999999999997,9.447514664361568
2012-05-03,305.51,17.25,11807,0.1523076923076923,303.63,17.25,11807,0.1523076923076923,300.64,307.74,304.14142857142855,2.7047577129399034,298.03,312.3,302.9057142857143,4.894380645674713
2012-05-04,298.48,17.25,11807,0.1523076923076923,305.51,17.25,11807,0.1523076923076923,302.21,307.74,304.83714285714285,2.2405037698809753,298.03,304.79,301.24000000000007,2.620063612458017
2012-05-07,303.77,17.25,11807,0.1523076923076923,298.48,17.25,11807,0.1523076923076923,298.48,307.74,303.92571428571426,3.284229271039925,298.03,304.86,301.5,2.903434747557898
