date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,7.69,15.1,93,0.1041758241758241,7.55,15.1,93,0.1041758241758241,7.53,7.59,7.565714285714286,0.02819996622760103,7.19,7.55,7.3100000000000005,0.1398809017223817
2012-01-25,7.75,15.1,93,0.1041758241758241,7.69,15.1,93,0.1041758241758241,7.53,7.69,7.581428571428572,0.05520524474738578,7.19,7.58,7.314285714285715,0.14864467059144115
2012-01-26,7.89,15.1,93,0.1041758241758241,7.75,15.1,93,0.1041758241758241,7.53,7.75,7.604285714285714,0.08462803768199044,7.19,7.59,7.355714285714286,0.18091039613181806
2012-01-27,8.06,15.1,93,0.1041758241758241,7.89,15.1,93,0.1041758241758241,7.53,7.89,7.655714285714287,0.1294677749940276,7.21,7.59,7.404285714285714,0.17453339153842357
2012-01-30,7.94,15.1,93,0.1041758241758241,8.06,15.1,93,0.1041758241758241,7.53,8.06,7.722857142857143,0.1949969474730532,7.23,7.59,7.458571428571429,0.16272969114747374
2012-01-31,7.99,15.1,93,0.1041758241758241,7.94,15.1,93,0.1041758241758241,7.53,8.06,7.772857142857142,0.20005951495444657,7.23,7.59,7.510000000000001,0.1325393023471395
2012-02-01,8.02,15.1,93,0.1041758241758241,7.99,15.1,93,0.1041758241758241,7.55,8.06,7.838571428571429,0.18169833712580946,7.46,7.59,7.5528571428571425,0.04923220007077975
2012-02-02,8.13,15.1,93,0.1041758241758241,8.02,15.1,93,0.1041758241758241,7.69,8.06,7.905714285714287,0.13914706163589283,7.53,7.59,7.565714285714286,0.02819996622760103
2012-02-03,8.25,15.1,93,0.1041758241758241,8.13,15.1,93,0.1041758241758241,7.75,8.13,7.968571428571429,0.12401996767033219,7.53,7.69,7.581428571428572,0.05520524474738578
2012-02-06,8.22,15.1,93,0.1041758241758241,8.25,15.1,93,0.1041758241758241,7.89,8.25,8.040000000000001,0.1211060141638891,7.53,7.75,7.604285714285714,0.08462803768199044
2012-02-07,8.25,15.1,93,0.1041758241758241,8.22,15.1,93,0.1041758241758241,7.94,8.25,8.087142857142856,0.11714866419983919,7.53,7.89,7.655714285714287,0.1294677749940276
2012-02-08,8.32,15.1,93,0.1041758241758241,8.25,15.1,93,0.1041758241758241,7.94,8.25,8.114285714285714,0.13100345324418639,7.53,8.06,7.722857142857143,0.1949969474730532
2012-02-09,8.33,15.1,93,0.1041758241758241,8.32,15.1,93,0.1041758241758241,7.99,8.32,8.168571428571429,0.1253566341055885,7.53,8.06,7.772857142857142,0.20005951495444657
2012-02-10,8.23,15.1,93,0.1041758241758241,8.33,15.1,93,0.1041758241758241,8.02,8.33,8.217142857142857,0.1095010328283375,7.55,8.06,7.838571428571429,0.18169833712580946
2012-02-13,8.26,15.1,93,0.1041758241758241,8.23,15.1,93,0.1041758241758241,8.13,8.33,8.247142857142856,0.0670110154412877,7.69,8.06,7.905714285714287,0.13914706163589283
2012-02-14,7.93,15.1,93,0.1041758241758241,8.26,15.1,93,0.1041758241758241,8.22,8.33,8.265714285714285,0.04276179870594467,7.75,8.13,7.968571428571429,0.12401996767033219
2012-02-15,8.01,15.1,93,0.1041758241758241,7.93,15.1,93,0.1041758241758241,7.93,8.33,8.22,0.13466006584481438,7.89,8.25,8.040000000000001,0.1211060141638891
2012-02-16,8.08,15.1,93,0.1041758241758241,8.01,15.1,93,0.1041758241758241,7.93,8.33,8.190000000000001,0.15631165450256684,7.94,8.25,8.087142857142856,0.11714866419983919
