date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,5.9919,4.05,309,0.1041758241758241,6.0756,4.05,309,0.1041758241758241,5.8408,6.116,5.957885714285714,0.12438595082204351,5.334,5.7071,5.500757142857142,0.13484227647073277
2012-01-25,6.1034,4.05,309,0.1041758241758241,5.9919,4.05,309,0.1041758241758241,5.8408,6.116,5.979471428571428,0.11329717140166412,5.334,5.8408,5.546514285714286,0.18693937902050325
2012-01-26,6.0881,4.05,309,0.1041758241758241,6.1034,4.05,309,0.1041758241758241,5.8782,6.116,6.016985714285714,0.10270894846719558,5.334,5.8408,5.581585714285715,0.2180565632167596
2012-01-27,6.0056,4.05,309,0.1041758241758241,6.0881,4.05,309,0.1041758241758241,5.8782,6.116,6.046971428571427,0.08445564347208875,5.334,5.8782,5.6404571428571435,0.2365284187093438
2012-01-30,5.8672,4.05,309,0.1041758241758241,6.0056,4.05,309,0.1041758241758241,5.9919,6.116,6.0651714285714275,0.04779409706527033,5.3385,5.8782,5.7182,0.20654788790980078
2012-01-31,5.8672,4.05,309,0.1041758241758241,5.8672,4.05,309,0.1041758241758241,5.8672,6.1034,6.029628571428572,0.08313817242569516,5.5438,6.116,5.829271428571429,0.17496994707935362
2012-02-01,5.8937,4.05,309,0.1041758241758241,5.8672,4.05,309,0.1041758241758241,5.8672,6.1034,5.999857142857143,0.09961345051652701,5.7071,6.116,5.905242857142857,0.14286888927897765
2012-02-02,6.0337,4.05,309,0.1041758241758241,5.8937,4.05,309,0.1041758241758241,5.8672,6.1034,5.973871428571429,0.1002850888598013,5.8408,6.116,5.957885714285714,0.12438595082204351
2012-02-03,6.158,4.05,309,0.1041758241758241,6.0337,4.05,309,0.1041758241758241,5.8672,6.1034,5.979842857142857,0.10275165622578553,5.8408,6.116,5.979471428571428,0.11329717140166412
2012-02-06,6.2156,4.05,309,0.1041758241758241,6.158,4.05,309,0.1041758241758241,5.8672,6.158,5.987642857142857,0.11503270342446975,5.8782,6.116,6.016985714285714,0.10270894846719558
2012-02-07,6.2608,4.05,309,0.1041758241758241,6.2156,4.05,309,0.1041758241758241,5.8672,6.2156,6.005857142857144,0.14079869621960983,5.8782,6.116,6.046971428571427,0.08445564347208875
2012-02-08,6.169,4.05,309,0.1041758241758241,6.2608,4.05,309,0.1041758241758241,5.8672,6.2608,6.042314285714285,0.1706055726773611,5.9919,6.116,6.0651714285714275,0.04779409706527033
2012-02-09,6.169,4.05,309,0.1041758241758241,6.169,4.05,309,0.1041758241758241,5.8672,6.2608,6.085428571428571,0.156530047320904,5.8672,6.1034,6.029628571428572,0.08313817242569516
2012-02-10,5.931,4.05,309,0.1041758241758241,6.169,4.05,309,0.1041758241758241,5.8937,6.2608,6.128542857142857,0.12473873839806714,5.8672,6.1034,5.999857142857143,0.09961345051652701
2012-02-13,6.0135,4.05,309,0.1041758241758241,5.931,4.05,309,0.1041758241758241,5.931,6.2608,6.133871428571429,0.11330767426621016,5.8672,6.1034,5.973871428571429,0.1002850888598013
2012-02-14,5.8814,4.05,309,0.1041758241758241,6.0135,4.05,309,0.1041758241758241,5.931,6.2608,6.130985714285714,0.11649638661879884,5.8672,6.1034,5.979842857142857,0.10275165622578553
2012-02-15,5.875,4.05,309,0.1041758241758241,5.8814,4.05,309,0.1041758241758241,5.8814,6.2608,6.091471428571428,0.14835882980446818,5.8672,6.158,5.987642857142857,0.11503270342446975
2012-02-16,5.875,4.05,309,0.1041758241758241,5.875,4.05,309,0.1041758241758241,5.875,6.2608,6.042814285714286,0.15649356140718326,5.8672,6.2156,6.005857142857144,0.14079869621960983
2012-02-17,5.875,4.05,309,0.1041758241758241,5.875,4.05,309,0.1041758241758241,5.875,6.169,5.987699999999999,0.1331178550508264,5.8672,6.2608,6.042314285714285,0.1706055726773611
2012-02-21,6.2484,4.05,309,0.1041758241758241,5.875,4.05,309,0.1041758241758241,5.875,6.169,5.9457,0.11090970802113377,5.8672,6.2608,6.085428571428571,0.156530047320904
2012-02-22,6.2484,4.05,309,0.1041758241758241,6.2484,4.05,309,0.1041758241758241,5.875,6.2484,5.9570428571428575,0.1382446847337815,5.8937,6.2608,6.128542857142857,0.12473873839806714
2012-02-23,6.2531,4.05,309,0.1041758241758241,6.2484,4.05,309,0.1041758241758241,5.875,6.2484,6.002385714285714,0.1753513086023909,5.931,6.2608,6.133871428571429,0.11330767426621016
2012-02-24,6.2531,4.05,309,0.1041758241758241,6.2531,4.05,309,0.1041758241758241,5.875,6.2531,6.036614285714286,0.1995918537797506,5.931,6.2608,6.130985714285714,0.11649638661879884
2012-02-27,6.3461,4.05,309,0.1041758241758241,6.2531,4.05,309,0.1041758241758241,5.875,6.2531,6.089714285714286,0.20085598844753652,5.8814,6.2608,6.091471428571428,0.14835882980446818
