date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,36.611,5.19,4871,0.1041758241758241,36.818,5.19,4871,0.1041758241758241,31.642,36.818,34.43642857142857,1.952519983435339,30.481,31.928,31.164285714285715,0.534553307066039
2012-01-25,36.709,5.19,4871,0.1041758241758241,36.611,5.19,4871,0.1041758241758241,32.252,36.818,35.14628571428572,1.6465446359255789,30.481,31.642,31.123428571428573,0.4739461492416128
2012-01-26,36.355,5.19,4871,0.1041758241758241,36.709,5.19,4871,0.1041758241758241,34.151,36.818,35.783,1.117587133068411,30.481,32.252,31.226000000000003,0.6297099861576515
2012-01-27,37.467,5.19,4871,0.1041758241758241,36.355,5.19,4871,0.1041758241758241,34.682,36.818,36.09785714285714,0.862537038542241,30.481,34.151,31.61257142857143,1.2806775364552008
2012-01-30,37.191,5.19,4871,0.1041758241758241,37.467,5.19,4871,0.1041758241758241,35.047,37.467,36.495714285714286,0.7332222751403483,30.481,34.682,32.19014285714286,1.6319333553152509
2012-01-31,37.29,5.19,4871,0.1041758241758241,37.191,5.19,4871,0.1041758241758241,36.355,37.467,36.802,0.39867739673419417,30.786,35.047,32.84242857142858,1.7436248504330405
2012-02-01,37.565,5.19,4871,0.1041758241758241,37.29,5.19,4871,0.1041758241758241,36.355,37.467,36.920142857142864,0.40397624871259313,30.786,36.463,33.574714285714286,2.054665075244286
2012-02-02,38.48,5.19,4871,0.1041758241758241,37.565,5.19,4871,0.1041758241758241,36.355,37.565,37.02685714285714,0.46634623352601534,31.642,36.818,34.43642857142857,1.952519983435339
2012-02-03,39.415,5.19,4871,0.1041758241758241,38.48,5.19,4871,0.1041758241758241,36.355,38.48,37.29385714285714,0.6763303996745267,32.252,36.818,35.14628571428572,1.6465446359255789
2012-02-06,39.031,5.19,4871,0.1041758241758241,39.415,5.19,4871,0.1041758241758241,36.355,39.415,37.68042857142857,0.9878987561390368,34.151,36.818,35.783,1.117587133068411
2012-02-07,38.618,5.19,4871,0.1041758241758241,39.031,5.19,4871,0.1041758241758241,37.191,39.415,38.062714285714286,0.9036914507149805,34.682,36.818,36.09785714285714,0.862537038542241
2012-02-08,39.287,5.19,4871,0.1041758241758241,38.618,5.19,4871,0.1041758241758241,37.191,39.415,38.22714285714285,0.8816801061178141,35.047,37.467,36.495714285714286,0.7332222751403483
2012-02-09,39.976,5.19,4871,0.1041758241758241,39.287,5.19,4871,0.1041758241758241,37.29,39.415,38.52657142857142,0.8252536695148555,36.355,37.467,36.802,0.39867739673419417
2012-02-10,38.185,5.19,4871,0.1041758241758241,39.976,5.19,4871,0.1041758241758241,37.565,39.976,38.91028571428571,0.7775323603739536,36.355,37.467,36.920142857142864,0.40397624871259313
2012-02-13,38.411,5.19,4871,0.1041758241758241,38.185,5.19,4871,0.1041758241758241,38.185,39.976,38.99885714285715,0.6176124536125085,36.355,37.565,37.02685714285714,0.46634623352601534
2012-02-14,38.225,5.19,4871,0.1041758241758241,38.411,5.19,4871,0.1041758241758241,38.185,39.976,38.989,0.6277411887076704,36.355,38.48,37.29385714285714,0.6763303996745267
2012-02-15,38.136,5.19,4871,0.1041758241758241,38.225,5.19,4871,0.1041758241758241,38.185,39.976,38.819,0.6537423039700858,36.355,39.415,37.68042857142857,0.9878987561390368
2012-02-16,37.546,5.19,4871,0.1041758241758241,38.136,5.19,4871,0.1041758241758241,38.136,39.976,38.69114285714286,0.6917835472101012,37.191,39.415,38.062714285714286,0.9036914507149805
2012-02-17,37.733,5.19,4871,0.1041758241758241,37.546,5.19,4871,0.1041758241758241,37.546,39.976,38.538000000000004,0.8178447285396616,37.191,39.415,38.22714285714285,0.8816801061178141
2012-02-21,35.991,5.19,4871,0.1041758241758241,37.733,5.19,4871,0.1041758241758241,37.546,39.976,38.315999999999995,0.7911232520916773,37.29,39.415,38.52657142857142,0.8252536695148555
2012-02-22,35.43,5.19,4871,0.1041758241758241,35.991,5.19,4871,0.1041758241758241,35.991,38.411,37.74671428571429,0.8303289938905827,37.565,39.976,38.91028571428571,0.7775323603739536
2012-02-23,35.716,5.19,4871,0.1041758241758241,35.43,5.19,4871,0.1041758241758241,35.43,38.411,37.353142857142856,1.1710009149685792,38.185,39.976,38.99885714285715,0.6176124536125085
2012-02-24,36.365,5.19,4871,0.1041758241758241,35.716,5.19,4871,0.1041758241758241,35.43,38.225,36.96814285714286,1.2076877947234193,38.185,39.976,38.989,0.6277411887076704
2012-02-27,35.981,5.19,4871,0.1041758241758241,36.365,5.19,4871,0.1041758241758241,35.43,38.136,36.70242857142857,1.0832760277884206,38.185,39.976,38.819,0.6537423039700858
2012-02-28,36.513,5.19,4871,0.1041758241758241,35.981,5.19,4871,0.1041758241758241,35.43,37.733,36.39457142857143,0.8984080099715609,38.136,39.976,38.69114285714286,0.6917835472101012
2012-02-29,36.257,5.19,4871,0.1041758241758241,36.513,5.19,4871,0.1041758241758241,35.43,37.733,36.247,0.7504018923217807,37.546,39.976,38.538000000000004,0.8178447285396616
2012-03-01,36.936,5.19,4871,0.1041758241758241,36.257,5.19,4871,0.1041758241758241,35.43,36.513,36.036142857142856,0.3784390873803294,37.546,39.976,38.315999999999995,0.7911232520916773
2012-03-02,36.818,5.19,4871,0.1041758241758241,36.936,5.19,4871,0.1041758241758241,35.43,36.936,36.17114285714286,0.5065285212673172,35.991,38.411,37.74671428571429,0.8303289938905827
2012-03-05,35.942,5.19,4871,0.1041758241758241,36.818,5.19,4871,0.1041758241758241,35.716,36.936,36.36942857142857,0.43461433368876434,35.43,38.411,37.353142857142856,1.1710009149685792
