date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,18.815,0.0,2537,0.1041758241758241,18.984,0.0,2537,0.1041758241758241,17.917,19.001,18.462,0.47683260514915954,17.561,17.917,17.735714285714288,0.10731684286217515
2012-01-25,19.066,0.0,2537,0.1041758241758241,18.815,0.0,2537,0.1041758241758241,17.917,19.001,18.57857142857143,0.44334593609011447,17.561,17.999,17.77657142857143,0.14504006014759788
2012-01-26,19.079,0.0,2537,0.1041758241758241,19.066,0.0,2537,0.1041758241758241,18.068,19.066,18.74271428571429,0.36300675580752695,17.561,17.999,17.800142857142855,0.15353981955986504
2012-01-27,19.036,0.0,2537,0.1041758241758241,19.079,0.0,2537,0.1041758241758241,18.437,19.079,18.88714285714286,0.22452722817172444,17.561,18.068,17.849714285714285,0.17782455237837938
2012-01-30,19.062,0.0,2537,0.1041758241758241,19.036,0.0,2537,0.1041758241758241,18.815,19.079,18.972714285714286,0.10858746748699895,17.561,18.437,17.955714285714286,0.26834226545322826
2012-01-31,19.157,0.0,2537,0.1041758241758241,19.062,0.0,2537,0.1041758241758241,18.815,19.079,19.00614285714286,0.09124587400979513,17.791,18.828,18.136714285714284,0.3669244764642595
2012-02-01,19.656,0.0,2537,0.1041758241758241,19.157,0.0,2537,0.1041758241758241,18.815,19.157,19.028428571428574,0.10740089562454391,17.917,19.001,18.309571428571427,0.45205377893301507
2012-02-02,19.556,0.0,2537,0.1041758241758241,19.656,0.0,2537,0.1041758241758241,18.815,19.656,19.12442857142857,0.25708938597490455,17.917,19.001,18.462,0.47683260514915954
2012-02-03,19.743,0.0,2537,0.1041758241758241,19.556,0.0,2537,0.1041758241758241,19.036,19.656,19.230285714285714,0.2609717189567461,17.917,19.001,18.57857142857143,0.44334593609011447
2012-02-06,19.96,0.0,2537,0.1041758241758241,19.743,0.0,2537,0.1041758241758241,19.036,19.743,19.326999999999998,0.31065736752892253,18.068,19.066,18.74271428571429,0.36300675580752695
2012-02-07,19.942,0.0,2537,0.1041758241758241,19.96,0.0,2537,0.1041758241758241,19.036,19.96,19.452857142857145,0.3668225858965193,18.437,19.079,18.88714285714286,0.22452722817172444
2012-02-08,19.882,0.0,2537,0.1041758241758241,19.942,0.0,2537,0.1041758241758241,19.062,19.96,19.582285714285714,0.3548665074295366,18.815,19.079,18.972714285714286,0.10858746748699895
2012-02-09,20.268,0.0,2537,0.1041758241758241,19.882,0.0,2537,0.1041758241758241,19.157,19.96,19.699428571428573,0.28244637080506274,18.815,19.079,19.00614285714286,0.09124587400979513
2012-02-10,20.168,0.0,2537,0.1041758241758241,20.268,0.0,2537,0.1041758241758241,19.556,20.268,19.85814285714286,0.2350066868349481,18.815,19.157,19.028428571428574,0.10740089562454391
2012-02-13,20.415,0.0,2537,0.1041758241758241,20.168,0.0,2537,0.1041758241758241,19.556,20.268,19.931285714285714,0.24120165442059838,18.815,19.656,19.12442857142857,0.25708938597490455
2012-02-14,20.311,0.0,2537,0.1041758241758241,20.415,0.0,2537,0.1041758241758241,19.743,20.415,20.054000000000002,0.23692403845957555,19.036,19.656,19.230285714285714,0.2609717189567461
2012-02-15,20.493,0.0,2537,0.1041758241758241,20.311,0.0,2537,0.1041758241758241,19.882,20.415,20.135142857142856,0.20818135408933566,19.036,19.743,19.326999999999998,0.31065736752892253
2012-02-16,20.207,0.0,2537,0.1041758241758241,20.493,0.0,2537,0.1041758241758241,19.882,20.493,20.21128571428571,0.2297968046526401,19.036,19.96,19.452857142857145,0.3668225858965193
2012-02-17,20.285,0.0,2537,0.1041758241758241,20.207,0.0,2537,0.1041758241758241,19.882,20.493,20.249142857142857,0.19761530690662935,19.062,19.96,19.582285714285714,0.3548665074295366
