date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,25.445,13.1,2218,0.1041758241758241,24.904,13.1,2218,0.1041758241758241,23.598,25.075,24.339142857142857,0.6010877441692516,23.283,23.725,23.516285714285715,0.16284830803103706
2012-01-25,25.953,13.1,2218,0.1041758241758241,25.445,13.1,2218,0.1041758241758241,23.598,25.445,24.533142857142856,0.7145780639816853,23.283,24.087,23.571571428571428,0.2676084559842726
2012-01-26,25.64,13.1,2218,0.1041758241758241,25.953,13.1,2218,0.1041758241758241,23.745,25.953,24.869571428571426,0.7542041848073742,23.283,24.087,23.58514285714286,0.2659551519657847
2012-01-27,25.64,13.1,2218,0.1041758241758241,25.64,13.1,2218,0.1041758241758241,24.095,25.953,25.140285714285714,0.6094860442169623,23.283,24.087,23.63171428571429,0.2604999771501707
2012-01-30,25.64,13.1,2218,0.1041758241758241,25.64,13.1,2218,0.1041758241758241,24.87,25.953,25.360999999999997,0.41731842358883214,23.283,24.095,23.704857142857144,0.3114409674247722
2012-01-31,25.666,13.1,2218,0.1041758241758241,25.64,13.1,2218,0.1041758241758241,24.904,25.953,25.471,0.3644603316320376,23.401,24.87,23.93157142857143,0.48335144465246255
2012-02-01,26.171,13.1,2218,0.1041758241758241,25.666,13.1,2218,0.1041758241758241,24.904,25.953,25.55542857142857,0.3235994731881072,23.598,25.075,24.170714285714286,0.5812872824704737
2012-02-02,26.019,13.1,2218,0.1041758241758241,26.171,13.1,2218,0.1041758241758241,25.445,26.171,25.736428571428572,0.24274187740812278,23.598,25.075,24.339142857142857,0.6010877441692516
2012-02-03,26.306,13.1,2218,0.1041758241758241,26.019,13.1,2218,0.1041758241758241,25.64,26.171,25.818428571428573,0.22412411527459492,23.598,25.445,24.533142857142856,0.7145780639816853
2012-02-06,26.398,13.1,2218,0.1041758241758241,26.306,13.1,2218,0.1041758241758241,25.64,26.306,25.86885714285714,0.2895988193872291,23.745,25.953,24.869571428571426,0.7542041848073742
2012-02-07,25.337,13.1,2218,0.1041758241758241,26.398,13.1,2218,0.1041758241758241,25.64,26.398,25.977142857142855,0.3288213438791289,24.095,25.953,25.140285714285714,0.6094860442169623
2012-02-08,25.266,13.1,2218,0.1041758241758241,25.337,13.1,2218,0.1041758241758241,25.337,26.398,25.933857142857143,0.39406912615742484,24.87,25.953,25.360999999999997,0.41731842358883214
2012-02-09,25.19,13.1,2218,0.1041758241758241,25.266,13.1,2218,0.1041758241758241,25.266,26.398,25.88042857142857,0.46033352298192765,24.904,25.953,25.471,0.3644603316320376
2012-02-10,25.165,13.1,2218,0.1041758241758241,25.19,13.1,2218,0.1041758241758241,25.19,26.398,25.81242857142857,0.5275392109100696,24.904,25.953,25.55542857142857,0.3235994731881072
2012-02-13,25.65,13.1,2218,0.1041758241758241,25.165,13.1,2218,0.1041758241758241,25.165,26.398,25.668714285714284,0.550121112206428,25.445,26.171,25.736428571428572,0.24274187740812278
2012-02-14,25.394,13.1,2218,0.1041758241758241,25.65,13.1,2218,0.1041758241758241,25.165,26.398,25.615999999999996,0.528204190315323,25.64,26.171,25.818428571428573,0.22412411527459492
2012-02-15,25.11,13.1,2218,0.1041758241758241,25.394,13.1,2218,0.1041758241758241,25.165,26.398,25.485714285714288,0.4336591266135601,25.64,26.306,25.86885714285714,0.2895988193872291
2012-02-16,25.825,13.1,2218,0.1041758241758241,25.11,13.1,2218,0.1041758241758241,25.11,25.65,25.30171428571429,0.18269529667883244,25.64,26.398,25.977142857142855,0.3288213438791289
2012-02-17,25.892,13.1,2218,0.1041758241758241,25.825,13.1,2218,0.1041758241758241,25.11,25.825,25.37142857142857,0.270440293560239,25.337,26.398,25.933857142857143,0.39406912615742484
2012-02-21,25.732,13.1,2218,0.1041758241758241,25.892,13.1,2218,0.1041758241758241,25.11,25.892,25.460857142857144,0.3272931553268506,25.266,26.398,25.88042857142857,0.46033352298192765
2012-02-22,25.346,13.1,2218,0.1041758241758241,25.732,13.1,2218,0.1041758241758241,25.11,25.892,25.538285714285713,0.31646838403738714,25.19,26.398,25.81242857142857,0.5275392109100696
2012-02-23,25.68,13.1,2218,0.1041758241758241,25.346,13.1,2218,0.1041758241758241,25.11,25.892,25.56414285714286,0.28689860495270236,25.165,26.398,25.668714285714284,0.550121112206428
2012-02-24,25.847,13.1,2218,0.1041758241758241,25.68,13.1,2218,0.1041758241758241,25.11,25.892,25.568428571428573,0.28861384648167815,25.165,26.398,25.615999999999996,0.528204190315323
