date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,0.426,36.31,2,0.1041758241758241,0.43,36.31,2,0.1041758241758241,0.402,0.48,0.4514857142857143,0.03354665550003601,0.34,0.45,0.40581428571428574,0.03636630439346422
2012-01-25,0.44,36.31,2,0.1041758241758241,0.426,36.31,2,0.1041758241758241,0.402,0.48,0.44378571428571423,0.03209202541501698,0.39,0.4799,0.42580000000000007,0.03239398092238742
2012-01-26,0.411,36.31,2,0.1041758241758241,0.44,36.31,2,0.1041758241758241,0.402,0.48,0.4395142857142857,0.02995565770553919,0.39,0.4799,0.4330714285714286,0.03611249618833321
2012-01-27,0.42,36.31,2,0.1041758241758241,0.411,36.31,2,0.1041758241758241,0.402,0.4799,0.42965714285714285,0.02542268390911665,0.3987,0.48,0.44592857142857145,0.034192285401130784
2012-01-30,0.4501,36.31,2,0.1041758241758241,0.42,36.31,2,0.1041758241758241,0.402,0.44,0.42110000000000003,0.012478114173757788,0.3987,0.48,0.4502,0.03657057104649403
2012-01-31,0.4501,36.31,2,0.1041758241758241,0.4501,36.31,2,0.1041758241758241,0.411,0.4501,0.42797142857142856,0.013415751225793608,0.3987,0.48,0.44477142857142854,0.04090100708970845
2012-02-01,0.465,36.31,2,0.1041758241758241,0.4501,36.31,2,0.1041758241758241,0.411,0.4501,0.4324571428571429,0.014959707789354007,0.3987,0.48,0.4470142857142857,0.03859405949846983
2012-02-02,0.413,36.31,2,0.1041758241758241,0.465,36.31,2,0.1041758241758241,0.411,0.465,0.4374571428571428,0.019238663947275348,0.402,0.48,0.4514857142857143,0.03354665550003601
2012-02-03,0.4,36.31,2,0.1041758241758241,0.413,36.31,2,0.1041758241758241,0.411,0.465,0.4356,0.02106933000042167,0.402,0.48,0.44378571428571423,0.03209202541501698
2012-02-06,0.43,36.31,2,0.1041758241758241,0.4,36.31,2,0.1041758241758241,0.4,0.465,0.42988571428571426,0.02477541984652187,0.402,0.48,0.4395142857142857,0.02995565770553919
2012-02-07,0.7,36.31,2,0.1041758241758241,0.43,36.31,2,0.1041758241758241,0.4,0.465,0.4326,0.02336200619239141,0.402,0.4799,0.42965714285714285,0.02542268390911665
2012-02-08,0.85,36.31,2,0.1041758241758241,0.7,36.31,2,0.1041758241758241,0.4,0.7,0.47259999999999996,0.10280945157588058,0.402,0.44,0.42110000000000003,0.012478114173757788
2012-02-09,0.9,36.31,2,0.1041758241758241,0.85,36.31,2,0.1041758241758241,0.4,0.85,0.5297285714285714,0.17440254885642886,0.411,0.4501,0.42797142857142856,0.013415751225793608
2012-02-10,0.82,36.31,2,0.1041758241758241,0.9,36.31,2,0.1041758241758241,0.4,0.9,0.594,0.21769320920353338,0.411,0.4501,0.4324571428571429,0.014959707789354007
2012-02-13,0.701,36.31,2,0.1041758241758241,0.82,36.31,2,0.1041758241758241,0.4,0.9,0.6447142857142857,0.22389485202189166,0.411,0.465,0.4374571428571428,0.019238663947275348
2012-02-14,0.68,36.31,2,0.1041758241758241,0.701,36.31,2,0.1041758241758241,0.4,0.9,0.6858571428571428,0.19933257684201094,0.411,0.465,0.4356,0.02106933000042167
2012-02-15,0.65,36.31,2,0.1041758241758241,0.68,36.31,2,0.1041758241758241,0.43,0.9,0.7258571428571429,0.15573527599897272,0.4,0.465,0.42988571428571426,0.02477541984652187
2012-02-16,0.74,36.31,2,0.1041758241758241,0.65,36.31,2,0.1041758241758241,0.65,0.9,0.7572857142857143,0.09732199868771423,0.4,0.465,0.4326,0.02336200619239141
2012-02-17,0.74,36.31,2,0.1041758241758241,0.74,36.31,2,0.1041758241758241,0.65,0.9,0.763,0.09453218146924017,0.4,0.7,0.47259999999999996,0.10280945157588058
2012-02-21,0.76,36.31,2,0.1041758241758241,0.74,36.31,2,0.1041758241758241,0.65,0.9,0.7472857142857142,0.08645753155107298,0.4,0.85,0.5297285714285714,0.17440254885642886
2012-02-22,0.81,36.31,2,0.1041758241758241,0.76,36.31,2,0.1041758241758241,0.65,0.82,0.7272857142857142,0.05610916231096406,0.4,0.9,0.594,0.21769320920353338
