date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,21.917,27.22,3196,0.1041758241758241,21.775,27.22,3196,0.1041758241758241,21.775,22.145,21.959857142857143,0.15249199822878523,20.826,21.67,21.35814285714286,0.27390291988916304
2012-01-25,21.971,27.22,3196,0.1041758241758241,21.917,27.22,3196,0.1041758241758241,21.775,22.145,21.96357142857143,0.15084302783893344,21.235,21.891,21.510285714285715,0.21941795299208627
2012-01-26,22.237,27.22,3196,0.1041758241758241,21.971,27.22,3196,0.1041758241758241,21.775,22.145,21.990571428571428,0.12813125710620785,21.324,21.891,21.588428571428572,0.20172907338214358
2012-01-27,22.008,27.22,3196,0.1041758241758241,22.237,27.22,3196,0.1041758241758241,21.775,22.237,22.03242857142857,0.15534891603832837,21.428,21.944,21.677,0.20238659375890627
2012-01-30,22.299,27.22,3196,0.1041758241758241,22.008,27.22,3196,0.1041758241758241,21.775,22.237,22.019857142857145,0.15288822558917808,21.428,22.096,21.763857142857145,0.2355110956844183
2012-01-31,22.042,27.22,3196,0.1041758241758241,22.299,27.22,3196,0.1041758241758241,21.775,22.299,22.05028571428571,0.18588232324574605,21.536,22.096,21.857857142857142,0.2089325477847052
2012-02-01,22.188,27.22,3196,0.1041758241758241,22.042,27.22,3196,0.1041758241758241,21.775,22.299,22.035571428571426,0.18115173855348543,21.67,22.145,21.94485714285714,0.1769146956129073
2012-02-02,21.921,27.22,3196,0.1041758241758241,22.188,27.22,3196,0.1041758241758241,21.917,22.299,22.09457142857143,0.14598271260991857,21.775,22.145,21.959857142857143,0.15249199822878523
2012-02-03,22.227,27.22,3196,0.1041758241758241,21.921,27.22,3196,0.1041758241758241,21.921,22.299,22.095142857142857,0.14517739559061513,21.775,22.145,21.96357142857143,0.15084302783893344
2012-02-06,22.289,27.22,3196,0.1041758241758241,22.227,27.22,3196,0.1041758241758241,21.921,22.299,22.131714285714285,0.14087312765476692,21.775,22.145,21.990571428571428,0.12813125710620785
2012-02-07,22.344,27.22,3196,0.1041758241758241,22.289,27.22,3196,0.1041758241758241,21.921,22.299,22.139142857142854,0.1485142289158669,21.775,22.237,22.03242857142857,0.15534891603832837
2012-02-08,22.487,27.22,3196,0.1041758241758241,22.344,27.22,3196,0.1041758241758241,21.921,22.344,22.187142857142856,0.15328560333728267,21.775,22.237,22.019857142857145,0.15288822558917808
2012-02-09,22.708,27.22,3196,0.1041758241758241,22.487,27.22,3196,0.1041758241758241,21.921,22.487,22.214000000000002,0.18856121905983705,21.775,22.299,22.05028571428571,0.18588232324574605
2012-02-10,22.534,27.22,3196,0.1041758241758241,22.708,27.22,3196,0.1041758241758241,21.921,22.708,22.30914285714286,0.2464477149224048,21.775,22.299,22.035571428571426,0.18115173855348543
2012-02-13,22.731,27.22,3196,0.1041758241758241,22.534,27.22,3196,0.1041758241758241,21.921,22.708,22.358571428571427,0.2527191175612783,21.917,22.299,22.09457142857143,0.14598271260991857
2012-02-14,22.674,27.22,3196,0.1041758241758241,22.731,27.22,3196,0.1041758241758241,22.227,22.731,22.474285714285713,0.1986233573758061,21.921,22.299,22.095142857142857,0.14517739559061513
2012-02-15,22.374,27.22,3196,0.1041758241758241,22.674,27.22,3196,0.1041758241758241,22.289,22.731,22.538142857142855,0.1764930863343059,21.921,22.299,22.131714285714285,0.14087312765476692
2012-02-16,22.394,27.22,3196,0.1041758241758241,22.374,27.22,3196,0.1041758241758241,22.344,22.731,22.550285714285714,0.15850206548150822,21.921,22.299,22.139142857142854,0.1485142289158669
2012-02-17,22.363,27.22,3196,0.1041758241758241,22.394,27.22,3196,0.1041758241758241,22.374,22.731,22.55742857142857,0.14846532383338573,21.921,22.344,22.187142857142856,0.15328560333728267
2012-02-21,22.275,27.22,3196,0.1041758241758241,22.363,27.22,3196,0.1041758241758241,22.363,22.731,22.539714285714286,0.16477127003385936,21.921,22.487,22.214000000000002,0.18856121905983705
2012-02-22,22.309,27.22,3196,0.1041758241758241,22.275,27.22,3196,0.1041758241758241,22.275,22.731,22.477857142857143,0.17217571312608382,21.921,22.708,22.30914285714286,0.2464477149224048
2012-02-23,22.367,27.22,3196,0.1041758241758241,22.309,27.22,3196,0.1041758241758241,22.275,22.731,22.445714285714285,0.18073711506468101,21.921,22.708,22.358571428571427,0.2527191175612783
2012-02-24,22.294,27.22,3196,0.1041758241758241,22.367,27.22,3196,0.1041758241758241,22.275,22.674,22.393714285714285,0.13030440550970004,22.227,22.731,22.474285714285713,0.1986233573758061
2012-02-27,22.262,27.22,3196,0.1041758241758241,22.294,27.22,3196,0.1041758241758241,22.275,22.394,22.339428571428574,0.04587976003588185,22.289,22.731,22.538142857142855,0.1764930863343059
2012-02-28,22.576,27.22,3196,0.1041758241758241,22.262,27.22,3196,0.1041758241758241,22.262,22.394,22.323428571428572,0.05105179442765259,22.344,22.731,22.550285714285714,0.15850206548150822
2012-02-29,22.413,27.22,3196,0.1041758241758241,22.576,27.22,3196,0.1041758241758241,22.262,22.576,22.34942857142857,0.10779433680679562,22.374,22.731,22.55742857142857,0.14846532383338573
2012-03-01,22.484,27.22,3196,0.1041758241758241,22.413,27.22,3196,0.1041758241758241,22.262,22.576,22.35657142857143,0.11046697416400207,22.363,22.731,22.539714285714286,0.16477127003385936
2012-03-02,22.566,27.22,3196,0.1041758241758241,22.484,27.22,3196,0.1041758241758241,22.262,22.576,22.38642857142857,0.11296143463272731,22.275,22.731,22.477857142857143,0.17217571312608382
2012-03-05,22.636,27.22,3196,0.1041758241758241,22.566,27.22,3196,0.1041758241758241,22.262,22.576,22.423142857142857,0.12475099007145433,22.275,22.731,22.445714285714285,0.18073711506468101
2012-03-06,22.309,27.22,3196,0.1041758241758241,22.636,27.22,3196,0.1041758241758241,22.262,22.636,22.46157142857143,0.14445051879779228,22.275,22.674,22.393714285714285,0.13030440550970004
2012-03-07,22.842,27.22,3196,0.1041758241758241,22.309,27.22,3196,0.1041758241758241,22.262,22.636,22.463714285714282,0.14163416994227432,22.275,22.394,22.339428571428574,0.04587976003588185
2012-03-08,23.249,27.22,3196,0.1041758241758241,22.842,27.22,3196,0.1041758241758241,22.309,22.842,22.54657142857143,0.17064373915935255,22.262,22.394,22.323428571428572,0.05105179442765259
