date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,53.23,30.84,613,0.1041758241758241,52.88,30.84,613,0.1041758241758241,48.42,52.88,50.877142857142864,1.8995149756864687,47.37,49.53,48.637142857142855,0.7749992319504646
2012-01-25,54.01,30.84,613,0.1041758241758241,53.23,30.84,613,0.1041758241758241,48.8,53.23,51.56428571428571,1.724440558005772,47.37,49.45,48.47857142857142,0.6680426276675402
2012-01-26,52.98,30.84,613,0.1041758241758241,54.01,30.84,613,0.1041758241758241,49.68,54.01,52.308571428571426,1.4320548007604184,47.37,49.03,48.385714285714286,0.5442075934438095
2012-01-27,53.37,30.84,613,0.1041758241758241,52.98,30.84,613,0.1041758241758241,51.22,54.01,52.779999999999994,0.8456161461719327,47.37,49.68,48.478571428571435,0.7043538071979772
2012-01-30,53.3,30.84,613,0.1041758241758241,53.37,30.84,613,0.1041758241758241,52.53,54.01,53.08714285714286,0.5073694999936569,48.04,51.22,49.028571428571425,1.091305465507996
2012-01-31,53.56,30.84,613,0.1041758241758241,53.3,30.84,613,0.1041758241758241,52.53,54.01,53.18571428571429,0.4644300142058447,48.04,52.61,49.60857142857143,1.7023750915650062
2012-02-01,54.32,30.84,613,0.1041758241758241,53.56,30.84,613,0.1041758241758241,52.88,54.01,53.332857142857144,0.37699311601647595,48.04,52.61,50.185714285714276,1.9296101259309497
2012-02-02,54.27,30.84,613,0.1041758241758241,54.32,30.84,613,0.1041758241758241,52.98,54.32,53.53857142857142,0.4700861116656772,48.42,52.88,50.877142857142864,1.8995149756864687
2012-02-03,56.84,30.84,613,0.1041758241758241,54.27,30.84,613,0.1041758241758241,52.98,54.32,53.68714285714286,0.5181928304442392,48.8,53.23,51.56428571428571,1.724440558005772
2012-02-06,56.87,30.84,613,0.1041758241758241,56.84,30.84,613,0.1041758241758241,52.98,56.84,54.09142857142858,1.3104252308751863,49.68,54.01,52.308571428571426,1.4320548007604184
2012-02-07,57.86,30.84,613,0.1041758241758241,56.87,30.84,613,0.1041758241758241,53.3,56.87,54.64714285714285,1.5613425236604745,51.22,54.01,52.779999999999994,0.8456161461719327
2012-02-08,58.04,30.84,613,0.1041758241758241,57.86,30.84,613,0.1041758241758241,53.3,57.86,55.28857142857142,1.8456293287243746,52.53,54.01,53.08714285714286,0.5073694999936569
2012-02-09,63.94,30.84,613,0.1041758241758241,58.04,30.84,613,0.1041758241758241,53.56,58.04,55.965714285714284,1.8638835545070547,52.53,54.01,53.18571428571429,0.4644300142058447
2012-02-10,62.06,30.84,613,0.1041758241758241,63.94,30.84,613,0.1041758241758241,54.27,63.94,57.44857142857143,3.246898153476256,52.88,54.01,53.332857142857144,0.37699311601647595
2012-02-13,61.62,30.84,613,0.1041758241758241,62.06,30.84,613,0.1041758241758241,54.27,63.94,58.55428571428571,3.3209730358378065,52.98,54.32,53.53857142857142,0.4700861116656772
2012-02-14,62.16,30.84,613,0.1041758241758241,61.62,30.84,613,0.1041758241758241,56.84,63.94,59.604285714285716,2.872257283873044,52.98,54.32,53.68714285714286,0.5181928304442392
2012-02-15,61.75,30.84,613,0.1041758241758241,62.16,30.84,613,0.1041758241758241,56.87,63.94,60.36428571428571,2.7186507507882913,52.98,56.84,54.09142857142858,1.3104252308751863
2012-02-16,62.49,30.84,613,0.1041758241758241,61.75,30.84,613,0.1041758241758241,57.86,63.94,61.061428571428564,2.2603276205852936,53.3,56.87,54.64714285714285,1.5613425236604745
2012-02-17,62.63,30.84,613,0.1041758241758241,62.49,30.84,613,0.1041758241758241,58.04,63.94,61.722857142857144,1.7973936156344894,53.3,57.86,55.28857142857142,1.8456293287243746
2012-02-21,62.19,30.84,613,0.1041758241758241,62.63,30.84,613,0.1041758241758241,61.62,63.94,62.378571428571426,0.7781908200311499,53.56,58.04,55.965714285714284,1.8638835545070547
2012-02-22,64.02,30.84,613,0.1041758241758241,62.19,30.84,613,0.1041758241758241,61.62,62.63,62.128571428571426,0.3636586573250035,54.27,63.94,57.44857142857143,3.246898153476256
2012-02-23,63.64,30.84,613,0.1041758241758241,64.02,30.84,613,0.1041758241758241,61.62,64.02,62.40857142857143,0.7976513142015237,54.27,63.94,58.55428571428571,3.3209730358378065
2012-02-24,65.48,30.84,613,0.1041758241758241,63.64,30.84,613,0.1041758241758241,61.75,64.02,62.69714285714286,0.8295724659065478,56.84,63.94,59.604285714285716,2.872257283873044
2012-02-27,65.68,30.84,613,0.1041758241758241,65.48,30.84,613,0.1041758241758241,61.75,65.48,63.17142857142858,1.2916582180982479,56.87,63.94,60.36428571428571,2.7186507507882913
2012-02-28,65.92,30.84,613,0.1041758241758241,65.68,30.84,613,0.1041758241758241,62.19,65.68,63.73285714285714,1.4187049762102042,57.86,63.94,61.061428571428564,2.2603276205852936
2012-02-29,66.55,30.84,613,0.1041758241758241,65.92,30.84,613,0.1041758241758241,62.19,65.92,64.22285714285714,1.50745607217046,58.04,63.94,61.722857142857144,1.7973936156344894
2012-03-01,67.02,30.84,613,0.1041758241758241,66.55,30.84,613,0.1041758241758241,62.19,66.55,64.78285714285714,1.5447622717396503,61.62,63.94,62.378571428571426,0.7781908200311499
2012-03-02,66.59,30.84,613,0.1041758241758241,67.02,30.84,613,0.1041758241758241,63.64,67.02,65.47285714285714,1.2427753120295801,61.62,62.63,62.128571428571426,0.3636586573250035
2012-03-05,65.12,30.84,613,0.1041758241758241,66.59,30.84,613,0.1041758241758241,63.64,67.02,65.84,1.1150934191058042,61.62,64.02,62.40857142857143,0.7976513142015237
2012-03-06,63.62,30.84,613,0.1041758241758241,65.12,30.84,613,0.1041758241758241,65.12,67.02,66.05142857142857,0.6863048052534843,61.75,64.02,62.69714285714286,0.8295724659065478
2012-03-07,65.54,30.84,613,0.1041758241758241,63.62,30.84,613,0.1041758241758241,63.62,67.02,65.78571428571429,1.1487073480344436,61.75,65.48,63.17142857142858,1.2916582180982479
2012-03-08,66.16,30.84,613,0.1041758241758241,65.54,30.84,613,0.1041758241758241,63.62,67.02,65.76571428571428,1.1520685330142728,62.19,65.68,63.73285714285714,1.4187049762102042
2012-03-09,66.41,30.84,613,0.1041758241758241,66.16,30.84,613,0.1041758241758241,63.62,67.02,65.8,1.1609622445769219,62.19,65.92,64.22285714285714,1.50745607217046
2012-03-12,66.39,30.84,613,0.1041758241758241,66.41,30.84,613,0.1041758241758241,63.62,67.02,65.78,1.14701060733242,62.19,66.55,64.78285714285714,1.5447622717396503
2012-03-13,67.32,30.84,613,0.1041758241758241,66.39,30.84,613,0.1041758241758241,63.62,66.59,65.69000000000001,1.0544824955081487,63.64,67.02,65.47285714285714,1.2427753120295801
2012-03-14,67.6,30.84,613,0.1041758241758241,67.32,30.84,613,0.1041758241758241,63.62,67.32,65.79428571428572,1.1861964022714169,63.64,67.02,65.84,1.1150934191058042
2012-03-15,68.08,30.84,613,0.1041758241758241,67.6,30.84,613,0.1041758241758241,63.62,67.6,66.14857142857143,1.3146409975277198,65.12,67.02,66.05142857142857,0.6863048052534843
2012-03-16,68.24,30.84,613,0.1041758241758241,68.08,30.84,613,0.1041758241758241,65.54,68.08,66.78571428571429,0.9004416905579808,63.62,67.02,65.78571428571429,1.1487073480344436
2012-03-19,68.28,30.84,613,0.1041758241758241,68.24,30.84,613,0.1041758241758241,66.16,68.24,67.17142857142856,0.8550327200643264,63.62,67.02,65.76571428571428,1.1520685330142728
2012-03-20,66.78,30.84,613,0.1041758241758241,68.28,30.84,613,0.1041758241758241,66.39,68.28,67.47428571428571,0.8114155766898108,63.62,67.02,65.8,1.1609622445769219
