date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,3.2762,0.0,55,0.1041758241758241,3.3413,0.0,55,0.1041758241758241,3.0314,3.3413,3.1645571428571424,0.11970645843260241,2.6931,3.0675,2.822657142857143,0.1347424439086518
2012-01-25,3.3987,0.0,55,0.1041758241758241,3.2762,0.0,55,0.1041758241758241,3.0314,3.3413,3.1952142857142856,0.1163777961149447,2.6931,3.0675,2.861942857142857,0.16016822257804292
2012-01-26,3.3626,0.0,55,0.1041758241758241,3.3987,0.0,55,0.1041758241758241,3.0541,3.3987,3.2476857142857143,0.11296113533086663,2.729,3.0675,2.9102714285714284,0.15153735198827722
2012-01-27,3.3203,0.0,55,0.1041758241758241,3.3626,0.0,55,0.1041758241758241,3.1684,3.3987,3.291757142857143,0.08030684605816517,2.729,3.0675,2.9567142857142854,0.13571426390977276
2012-01-30,3.2836,0.0,55,0.1041758241758241,3.3203,0.0,55,0.1041758241758241,3.2331,3.3987,3.3134571428571427,0.059156032578905456,2.8154,3.1684,3.0194857142857146,0.11246143677681178
2012-01-31,3.2319,0.0,55,0.1041758241758241,3.2836,0.0,55,0.1041758241758241,3.262,3.3987,3.320671428571429,0.05011066800212688,2.938,3.2331,3.0791571428571425,0.09569115001125383
2012-02-01,3.262,0.0,55,0.1041758241758241,3.2319,0.0,55,0.1041758241758241,3.2319,3.3987,3.3163714285714287,0.05682586600852977,3.0314,3.262,3.125442857142857,0.09438430055086672
2012-02-02,3.2331,0.0,55,0.1041758241758241,3.262,0.0,55,0.1041758241758241,3.2319,3.3987,3.3050428571428574,0.05889473256421022,3.0314,3.3413,3.1645571428571424,0.11970645843260241
2012-02-03,3.3129,0.0,55,0.1041758241758241,3.2331,0.0,55,0.1041758241758241,3.2319,3.3987,3.2988857142857144,0.06440759345945479,3.0314,3.3413,3.1952142857142856,0.1163777961149447
2012-02-06,3.4133,0.0,55,0.1041758241758241,3.3129,0.0,55,0.1041758241758241,3.2319,3.3626,3.2866285714285715,0.0484284253404204,3.0541,3.3987,3.2476857142857143,0.11296113533086663
2012-02-07,3.2612,0.0,55,0.1041758241758241,3.4133,0.0,55,0.1041758241758241,3.2319,3.4133,3.2938714285714283,0.06321742149876641,3.1684,3.3987,3.291757142857143,0.08030684605816517
2012-02-08,2.8839,0.0,55,0.1041758241758241,3.2612,0.0,55,0.1041758241758241,3.2319,3.4133,3.285428571428571,0.06304579590228575,3.2331,3.3987,3.3134571428571427,0.059156032578905456
2012-02-09,2.9135,0.0,55,0.1041758241758241,2.8839,0.0,55,0.1041758241758241,2.8839,3.4133,3.228328571428571,0.16444229701515115,3.262,3.3987,3.320671428571429,0.05011066800212688
2012-02-10,2.9209,0.0,55,0.1041758241758241,2.9135,0.0,55,0.1041758241758241,2.8839,3.4133,3.1828428571428575,0.20284198987670898,3.2319,3.3987,3.3163714285714287,0.05682586600852977
2012-02-13,2.9581,0.0,55,0.1041758241758241,2.9209,0.0,55,0.1041758241758241,2.8839,3.4133,3.134114285714286,0.22083030006901538,3.2319,3.3987,3.3050428571428574,0.05889473256421022
2012-02-14,2.9875,0.0,55,0.1041758241758241,2.9581,0.0,55,0.1041758241758241,2.8839,3.4133,3.0948285714285713,0.22471293327477232,3.2319,3.3987,3.2988857142857144,0.06440759345945479
2012-02-15,3.017,0.0,55,0.1041758241758241,2.9875,0.0,55,0.1041758241758241,2.8839,3.4133,3.048342857142857,0.20486305879084862,3.2319,3.3626,3.2866285714285715,0.0484284253404204
2012-02-16,3.1429,0.0,55,0.1041758241758241,3.017,0.0,55,0.1041758241758241,2.8839,3.2612,2.9917285714285713,0.12725673150873196,3.2319,3.4133,3.2938714285714283,0.06321742149876641
2012-02-17,3.2686,0.0,55,0.1041758241758241,3.1429,0.0,55,0.1041758241758241,2.8839,3.1429,2.9748285714285716,0.08699074116030277,3.2319,3.4133,3.285428571428571,0.06304579590228575
2012-02-21,3.2537,0.0,55,0.1041758241758241,3.2686,0.0,55,0.1041758241758241,2.9135,3.2686,3.0297857142857145,0.1305730756903503,2.8839,3.4133,3.228328571428571,0.16444229701515115
2012-02-22,3.1429,0.0,55,0.1041758241758241,3.2537,0.0,55,0.1041758241758241,2.9209,3.2686,3.0783857142857136,0.14281543367310834,2.8839,3.4133,3.1828428571428575,0.20284198987670898
2012-02-23,3.2168,0.0,55,0.1041758241758241,3.1429,0.0,55,0.1041758241758241,2.9581,3.2686,3.1100999999999996,0.12562991947249916,2.8839,3.4133,3.134114285714286,0.22083030006901538
2012-02-24,3.3352,0.0,55,0.1041758241758241,3.2168,0.0,55,0.1041758241758241,2.9875,3.2686,3.147057142857143,0.11061746180934931,2.8839,3.4133,3.0948285714285713,0.22471293327477232
2012-02-27,3.3426,0.0,55,0.1041758241758241,3.3352,0.0,55,0.1041758241758241,3.017,3.3352,3.1967285714285714,0.10494906247454408,2.8839,3.4133,3.048342857142857,0.20486305879084862
2012-02-28,3.3278,0.0,55,0.1041758241758241,3.3426,0.0,55,0.1041758241758241,3.1429,3.3426,3.243242857142857,0.08156479749546536,2.8839,3.2612,2.9917285714285713,0.12725673150873196
2012-02-29,3.2698,0.0,55,0.1041758241758241,3.3278,0.0,55,0.1041758241758241,3.1429,3.3426,3.2696571428571426,0.0731597762239809,2.8839,3.1429,2.9748285714285716,0.08699074116030277
2012-03-01,3.298,0.0,55,0.1041758241758241,3.2698,0.0,55,0.1041758241758241,3.1429,3.3426,3.2698285714285715,0.07315829217720858,2.9135,3.2686,3.0297857142857145,0.1305730756903503
2012-03-02,3.2612,0.0,55,0.1041758241758241,3.298,0.0,55,0.1041758241758241,3.1429,3.3426,3.2761571428571434,0.0734460767534679,2.9209,3.2686,3.0783857142857136,0.14281543367310834
2012-03-05,3.3426,0.0,55,0.1041758241758241,3.2612,0.0,55,0.1041758241758241,3.2168,3.3426,3.293057142857143,0.046247409193845394,2.9581,3.2686,3.1100999999999996,0.12562991947249916
2012-03-06,3.2463,0.0,55,0.1041758241758241,3.3426,0.0,55,0.1041758241758241,3.2612,3.3426,3.311028571428572,0.03466860800425232,2.9875,3.2686,3.147057142857143,0.11061746180934931
2012-03-07,3.2686,0.0,55,0.1041758241758241,3.2463,0.0,55,0.1041758241758241,3.2463,3.3426,3.2983285714285713,0.04018286178151704,3.017,3.3352,3.1967285714285714,0.10494906247454408
2012-03-08,3.2758,0.0,55,0.1041758241758241,3.2686,0.0,55,0.1041758241758241,3.2463,3.3426,3.287757142857143,0.036123669855229794,3.1429,3.3426,3.243242857142857,0.08156479749546536
2012-03-09,3.3352,0.0,55,0.1041758241758241,3.2758,0.0,55,0.1041758241758241,3.2463,3.3426,3.2803285714285715,0.03157735023112547,3.1429,3.3426,3.2696571428571426,0.0731597762239809
2012-03-12,3.2612,0.0,55,0.1041758241758241,3.3352,0.0,55,0.1041758241758241,3.2463,3.3426,3.2896714285714284,0.03712989425811989,3.1429,3.3426,3.2698285714285715,0.07315829217720858
2012-03-13,3.3129,0.0,55,0.1041758241758241,3.2612,0.0,55,0.1041758241758241,3.2463,3.3426,3.2844142857142855,0.03833964130294139,3.1429,3.3426,3.2761571428571434,0.0734460767534679
2012-03-14,3.2907,0.0,55,0.1041758241758241,3.3129,0.0,55,0.1041758241758241,3.2463,3.3426,3.2918,0.038101312313358934,3.2168,3.3426,3.293057142857143,0.046247409193845394
2012-03-15,3.4904,0.0,55,0.1041758241758241,3.2907,0.0,55,0.1041758241758241,3.2463,3.3352,3.2843857142857145,0.030946266795391388,3.2612,3.3426,3.311028571428572,0.03466860800425232
2012-03-16,3.8751,0.0,55,0.1041758241758241,3.4904,0.0,55,0.1041758241758241,3.2612,3.4904,3.319257142857143,0.07981778951969093,3.2463,3.3426,3.2983285714285713,0.04018286178151704
2012-03-19,3.9044,0.0,55,0.1041758241758241,3.8751,0.0,55,0.1041758241758241,3.2612,3.8751,3.4059,0.2206322430350263,3.2463,3.3426,3.287757142857143,0.036123669855229794
2012-03-20,3.7123,0.0,55,0.1041758241758241,3.9044,0.0,55,0.1041758241758241,3.2612,3.9044,3.4957,0.2790458385283684,3.2463,3.3426,3.2803285714285715,0.03157735023112547
2012-03-21,3.7566,0.0,55,0.1041758241758241,3.7123,0.0,55,0.1041758241758241,3.2612,3.9044,3.549571428571429,0.2792966983590855,3.2463,3.3426,3.2896714285714284,0.03712989425811989
2012-03-22,3.6975,0.0,55,0.1041758241758241,3.7566,0.0,55,0.1041758241758241,3.2907,3.9044,3.6203428571428566,0.25582626172947237,3.2463,3.3426,3.2844142857142855,0.03833964130294139
2012-03-23,3.8751,0.0,55,0.1041758241758241,3.6975,0.0,55,0.1041758241758241,3.2907,3.9044,3.6752857142857143,0.21717256908252724,3.2463,3.3426,3.2918,0.038101312313358934
2012-03-26,3.8602,0.0,55,0.1041758241758241,3.8751,0.0,55,0.1041758241758241,3.4904,3.9044,3.7587714285714284,0.14503681962736004,3.2463,3.3352,3.2843857142857145,0.030946266795391388
2012-03-27,3.8898,0.0,55,0.1041758241758241,3.8602,0.0,55,0.1041758241758241,3.6975,3.9044,3.8115999999999994,0.08654728957820472,3.2612,3.4904,3.319257142857143,0.07981778951969093
2012-03-28,4.4443,0.0,55,0.1041758241758241,3.8898,0.0,55,0.1041758241758241,3.6975,3.9044,3.8137,0.08850114876844041,3.2612,3.8751,3.4059,0.2206322430350263
2012-03-29,4.3778,0.0,55,0.1041758241758241,4.4443,0.0,55,0.1041758241758241,3.6975,4.4443,3.890828571428571,0.256509543125175,3.2612,3.9044,3.4957,0.2790458385283684
2012-03-30,4.49,0.0,55,0.1041758241758241,4.3778,0.0,55,0.1041758241758241,3.6975,4.4443,3.9859,0.2991046528112419,3.2612,3.9044,3.549571428571429,0.2792966983590855
2012-04-02,4.5627,0.0,51,0.1523076923076923,4.49,0.0,55,0.1041758241758241,3.6975,4.49,4.0906714285714285,0.33203426386587365,3.2907,3.9044,3.6203428571428566,0.25582626172947237
2012-04-03,4.4888,0.0,51,0.1523076923076923,4.5627,0.0,51,0.1523076923076923,3.8602,4.5627,4.214271428571428,0.32217205400368387,3.2907,3.9044,3.6752857142857143,0.21717256908252724
2012-04-04,4.437,0.0,51,0.1523076923076923,4.4888,0.0,51,0.1523076923076923,3.8602,4.5627,4.3019428571428575,0.29701114377041427,3.4904,3.9044,3.7587714285714284,0.14503681962736004
2012-04-05,4.3188,0.0,51,0.1523076923076923,4.437,0.0,51,0.1523076923076923,3.8898,4.5627,4.384342857142857,0.22541409196663587,3.6975,3.9044,3.8115999999999994,0.08654728957820472
