date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,32.548,12.43,1947,0.1041758241758241,32.972,12.43,1947,0.1041758241758241,32.499,32.972,32.73771428571428,0.18286125367403497,32.823,34.336,33.660714285714285,0.5487421113436696
2012-01-25,32.791,12.43,1947,0.1041758241758241,32.548,12.43,1947,0.1041758241758241,32.499,32.972,32.695142857142855,0.18806419876506061,32.823,34.235,33.44785714285714,0.5318675989916571
2012-01-26,32.926,12.43,1947,0.1041758241758241,32.791,12.43,1947,0.1041758241758241,32.499,32.972,32.69871428571429,0.18986285777346273,32.766,33.95,33.238,0.4535699137582601
2012-01-27,32.6,12.43,1947,0.1041758241758241,32.926,12.43,1947,0.1041758241758241,32.499,32.972,32.70214285714285,0.19431025755342324,32.766,33.548,33.08828571428572,0.337492081035855
2012-01-30,32.388,12.43,1947,0.1041758241758241,32.6,12.43,1947,0.1041758241758241,32.499,32.972,32.696285714285715,0.19705897111078036,32.641,33.548,32.96214285714286,0.31151213383079557
2012-01-31,32.358,12.43,1947,0.1041758241758241,32.388,12.43,1947,0.1041758241758241,32.388,32.972,32.68042857142857,0.2188423002551237,32.499,33.209,32.812285714285714,0.22222789675295304
2012-02-01,32.593,12.43,1947,0.1041758241758241,32.358,12.43,1947,0.1041758241758241,32.358,32.972,32.654714285714284,0.24711583942604548,32.499,32.902,32.71642857142857,0.1580304370924174
2012-02-02,32.781,12.43,1947,0.1041758241758241,32.593,12.43,1947,0.1041758241758241,32.358,32.926,32.60057142857143,0.20372191597277617,32.499,32.972,32.73771428571428,0.18286125367403497
2012-02-03,32.894,12.43,1947,0.1041758241758241,32.781,12.43,1947,0.1041758241758241,32.358,32.926,32.633857142857146,0.21254444913274761,32.499,32.972,32.695142857142855,0.18806419876506061
2012-02-06,32.781,12.43,1947,0.1041758241758241,32.894,12.43,1947,0.1041758241758241,32.358,32.926,32.64857142857143,0.22822347026752743,32.499,32.972,32.69871428571429,0.18986285777346273
2012-02-07,33.075,12.43,1947,0.1041758241758241,32.781,12.43,1947,0.1041758241758241,32.358,32.894,32.62785714285714,0.20415796871657052,32.499,32.972,32.70214285714285,0.19431025755342324
2012-02-08,33.148,12.43,1947,0.1041758241758241,33.075,12.43,1947,0.1041758241758241,32.358,33.075,32.69571428571429,0.26363213909139754,32.499,32.972,32.696285714285715,0.19705897111078036
2012-02-09,32.996,12.43,1947,0.1041758241758241,33.148,12.43,1947,0.1041758241758241,32.358,33.148,32.80428571428571,0.272143169603625,32.388,32.972,32.68042857142857,0.2188423002551237
2012-02-10,32.735,12.43,1947,0.1041758241758241,32.996,12.43,1947,0.1041758241758241,32.593,33.148,32.895428571428575,0.19313454476337344,32.358,32.972,32.654714285714284,0.24711583942604548
2012-02-13,32.761,12.43,1947,0.1041758241758241,32.735,12.43,1947,0.1041758241758241,32.735,33.148,32.91571428571429,0.16083087834298226,32.358,32.926,32.60057142857143,0.20372191597277617
2012-02-14,33.242,12.43,1947,0.1041758241758241,32.761,12.43,1947,0.1041758241758241,32.735,33.148,32.91285714285714,0.1637736533262079,32.358,32.926,32.633857142857146,0.21254444913274761
2012-02-15,33.313,12.43,1947,0.1041758241758241,33.242,12.43,1947,0.1041758241758241,32.735,33.242,32.96257142857143,0.20478025388439283,32.358,32.926,32.64857142857143,0.22822347026752743
2012-02-16,33.209,12.43,1947,0.1041758241758241,33.313,12.43,1947,0.1041758241758241,32.735,33.313,33.03857142857142,0.22398277995035956,32.358,32.894,32.62785714285714,0.20415796871657052
2012-02-17,33.234,12.43,1947,0.1041758241758241,33.209,12.43,1947,0.1041758241758241,32.735,33.313,33.05771428571428,0.23315353617000417,32.358,33.075,32.69571428571429,0.26363213909139754
2012-02-21,33.414,12.43,1947,0.1041758241758241,33.234,12.43,1947,0.1041758241758241,32.735,33.313,33.07,0.24084296405197214,32.358,33.148,32.80428571428571,0.272143169603625
2012-02-22,33.438,12.43,1947,0.1041758241758241,33.414,12.43,1947,0.1041758241758241,32.735,33.414,33.129714285714286,0.2695463561156885,32.593,33.148,32.895428571428575,0.19313454476337344
2012-02-23,33.405,12.43,1947,0.1041758241758241,33.438,12.43,1947,0.1041758241758241,32.761,33.438,33.23014285714286,0.2253038160436221,32.735,33.148,32.91571428571429,0.16083087834298226
2012-02-24,33.132,12.43,1947,0.1041758241758241,33.405,12.43,1947,0.1041758241758241,33.209,33.438,33.32214285714286,0.09643897651098879,32.735,33.148,32.91285714285714,0.1637736533262079
2012-02-27,33.438,12.43,1947,0.1041758241758241,33.132,12.43,1947,0.1041758241758241,33.132,33.438,33.306428571428576,0.1181846819500307,32.735,33.242,32.96257142857143,0.20478025388439283
2012-02-28,33.983,12.43,1947,0.1041758241758241,33.438,12.43,1947,0.1041758241758241,33.132,33.438,33.324285714285715,0.12834941148514253,32.735,33.313,33.03857142857142,0.22398277995035956
2012-02-29,34.664,12.43,1947,0.1041758241758241,33.983,12.43,1947,0.1041758241758241,33.132,33.983,33.43485714285714,0.268909172132811,32.735,33.313,33.05771428571428,0.23315353617000417
2012-03-01,34.762,12.43,1947,0.1041758241758241,34.664,12.43,1947,0.1041758241758241,33.132,34.664,33.63914285714286,0.5183616590024971,32.735,33.313,33.07,0.24084296405197214
2012-03-02,34.603,12.43,1947,0.1041758241758241,34.762,12.43,1947,0.1041758241758241,33.132,34.762,33.831714285714284,0.6535448758592748,32.735,33.414,33.129714285714286,0.2695463561156885
2012-03-05,34.619,12.43,1947,0.1041758241758241,34.603,12.43,1947,0.1041758241758241,33.132,34.762,33.99814285714286,0.6841913544643919,32.761,33.438,33.23014285714286,0.2253038160436221
2012-03-06,33.888,12.43,1947,0.1041758241758241,34.619,12.43,1947,0.1041758241758241,33.132,34.762,34.17157142857143,0.662295215429616,33.209,33.438,33.32214285714286,0.09643897651098879
2012-03-07,34.451,12.43,1947,0.1041758241758241,33.888,12.43,1947,0.1041758241758241,33.438,34.762,34.27957142857143,0.5082430052454828,33.132,33.438,33.306428571428576,0.1181846819500307
2012-03-08,34.732,12.43,1947,0.1041758241758241,34.451,12.43,1947,0.1041758241758241,33.888,34.762,34.424285714285716,0.3474707250430029,33.132,33.438,33.324285714285715,0.12834941148514253
