date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,15.4,0.0,148,0.1041758241758241,15.16,0.0,148,0.1041758241758241,14.5,15.21,14.921428571428569,0.2891613489287339,14.0,14.91,14.474285714285713,0.3551458452925659
2012-01-25,15.4,0.0,148,0.1041758241758241,15.4,0.0,148,0.1041758241758241,14.5,15.4,15.038571428571428,0.2938496538157205,14.0,14.91,14.557142857142859,0.2872115530240309
2012-01-26,15.2,0.0,148,0.1041758241758241,15.4,0.0,148,0.1041758241758241,14.82,15.4,15.167142857142858,0.20122245448874898,14.49,14.91,14.62857142857143,0.1592093560304114
2012-01-27,15.63,0.0,148,0.1041758241758241,15.2,0.0,148,0.1041758241758241,15.08,15.4,15.221428571428572,0.13094891770312514,14.49,14.91,14.651428571428571,0.17515979099368542
2012-01-30,15.55,0.0,148,0.1041758241758241,15.63,0.0,148,0.1041758241758241,15.08,15.63,15.281428571428572,0.20186039494566577,14.49,15.21,14.715714285714286,0.27549090383393304
2012-01-31,15.6,0.0,148,0.1041758241758241,15.55,0.0,148,0.1041758241758241,15.08,15.63,15.345714285714285,0.20606286604312296,14.49,15.21,14.742857142857144,0.3055440113259332
2012-02-01,15.76,0.0,148,0.1041758241758241,15.6,0.0,148,0.1041758241758241,15.16,15.63,15.42,0.1871719352182233,14.5,15.21,14.827142857142858,0.3055440113259332
2012-02-02,15.72,0.0,148,0.1041758241758241,15.76,0.0,148,0.1041758241758241,15.2,15.76,15.505714285714287,0.185639178951822,14.5,15.21,14.921428571428569,0.2891613489287339
2012-02-03,16.2,0.0,148,0.1041758241758241,15.72,0.0,148,0.1041758241758241,15.2,15.76,15.551428571428572,0.19445895637457256,14.5,15.4,15.038571428571428,0.2938496538157205
2012-02-06,16.27,0.0,148,0.1041758241758241,16.2,0.0,148,0.1041758241758241,15.2,16.2,15.665714285714285,0.29809713980833125,14.82,15.4,15.167142857142858,0.20122245448874898
