date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,7.06758064516129,0.0066320273028470655,0.0,"$1,585",0.10417582417582417
2012-06-30,6.672857142857143,-0.004937608104856506,0.0,"$1,413",0.1523076923076923
2012-09-30,4.163968253968254,-0.007750721017640185,0.0,"$1,269",0.14434782608695654
2012-12-31,2.3685483870967743,-0.004483329870474155,0.0,"$1,155",0.16119565217391305
2013-03-31,2.6138333333333335,0.0014646682390027422,0.0,"$1,088",0.14366666666666666
2013-06-30,3.4578125,0.008112373371244474,0.0,"$1,161",0.11582417582417584
2013-09-30,3.80875,-0.0005593305021991922,0.0,"$1,461",0.08521739130434783
2013-12-31,3.58609375,0.0005757291190092405,0.0,"$1,589",0.08554347826086957
2014-03-31,3.816393442622951,0.0009328568399663744,80.2,"$1,397",0.07222222222222222
2014-06-30,4.051428571428572,0.0010161896609972119,41.9,"$1,441",0.09098901098901098
2014-09-30,4.04765625,-0.0028588572414661867,56.83,"$1,429",0.0891304347826087
2014-12-31,2.74609375,-0.003505741104069546,0.0,"$1,239",0.10130434782608697
2015-03-31,2.8114754098360657,0.000640028591136425,0.0,"$1,030",0.11288888888888889
2015-06-30,2.4206349206349205,-0.0014398467121560707,0.0,$942,0.1256043956043956
2015-09-30,1.8803125,-0.004145383133924971,0.0,"$1,061",0.13478260869565217
2015-12-31,2.23875,0.008470177382955899,0.0,$958,0.16108695652173913
2016-03-31,2.2731147540983607,0.0011858775641654185,0.0,$832,0.3597802197802198
2016-06-30,3.885078125,0.011641244920943473,0.0,"$1,027",0.36934065934065935
2016-09-30,6.38421875,0.005336763037158021,0.0,"$1,307",0.39489130434782604
2016-12-31,8.385714285714284,0.008616810866385227,0.0,"$1,153",0.44815217391304346
2017-03-31,12.694193548387096,0.004726655514213017,0.0,"$1,178",0.698888888888889
2017-06-30,12.223888888888888,-0.0012149638262215596,0.0,"$1,151",0.9473626373626375
2017-09-30,13.047552380952382,0.0007000275035754387,0.0,"$1,584",1.1536956521739128
2017-12-31,12.765666666666668,-0.003430617156717804,342.67,"$1,340",1.2027777777777777
