date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,8.003428333333334,0.004761757921093413,0.0,$35,0.10417582417582417
2012-06-30,6.208253968253969,-0.0009330424674522271,0.0,$35,0.1523076923076923
2012-09-30,6.873968253968254,0.006444904435353954,0.0,$35,0.14434782608695654
2012-12-31,5.567567741935484,0.0005804030972986529,0.0,$35,0.16119565217391305
2013-03-31,6.199,-0.0019391852778250988,0.0,$35,0.14366666666666666
2013-06-30,4.2139546875,-0.0010900581294485852,0.0,$35,0.11582417582417584
2013-09-30,3.614696875,3.4470814755035994e-06,0.0,$35,0.08521739130434783
2013-12-31,2.538278125,0.008149542937040009,0.0,$35,0.08554347826086957
2014-03-31,3.3711918032786885,0.022923954788741988,0.0,$35,0.07222222222222222
2014-06-30,6.342680952380952,0.009463474497297095,0.0,$35,0.09098901098901098
2014-09-30,9.8404671875,0.0006424151355363898,0.0,$35,0.0891304347826087
2014-12-31,6.574453125,-0.005012016184649994,0.0,$35,0.10130434782608697
2015-03-31,4.333001639344262,-0.003907558240690589,0.0,$35,0.11288888888888889
2015-06-30,4.3627746031746035,-0.0019746508370993795,0.0,$38,0.1256043956043956
2015-09-30,3.25816875,-0.0020250064009762637,0.0,$39,0.13478260869565217
2015-12-31,2.47180625,0.004398210319333348,0.0,$35,0.16108695652173913
2016-03-31,1.9676229508196723,-0.0038356224708925957,0.0,$33,0.3597802197802198
2016-06-30,2.4648296875,0.0029041388253465694,0.0,$33,0.36934065934065935
2016-09-30,1.6827109375,-0.010242423581453686,0.0,$39,0.39489130434782604
2016-12-31,1.6284,0.005821540049990158,0.0,$37,0.44815217391304346
2017-03-31,1.3864564516129032,-0.0003407724064815795,0.0,$32,0.698888888888889
2017-06-30,1.3311333333333333,0.0015851371495709898,0.0,$41,0.9473626373626375
2017-09-30,1.0690904761904763,-0.006125799788474188,0.0,$39,1.1536956521739128
2017-12-31,0.7916966666666667,-0.0002864455133930114,0.0,$39,1.2027777777777777
