date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,34.300951612903226,0.00038899864062568395,10.42,$19,0.10417582417582417
2012-06-30,33.14960317460318,-0.0002033664600681822,9.34,$19,0.1523076923076923
2012-09-30,35.4384126984127,0.0023696865652949833,11.49,$17,0.14434782608695654
2012-12-31,34.59564516129032,-0.0018536775629567025,9.46,$18,0.16119565217391305
2013-03-31,35.84185,0.001292015787507859,10.23,$17,0.14366666666666666
2013-06-30,36.2158125,0.00012161374463496959,11.53,$17,0.11582417582417584
2013-09-30,38.590796875,0.0007615525779086866,11.51,$16,0.08521739130434783
2013-12-31,40.12121875,0.0008608388663434371,14.19,$18,0.08554347826086957
2014-03-31,41.059688524590165,0.0007613012144840628,15.59,$21,0.07222222222222222
2014-06-30,41.67720634920635,0.00030213325000791807,14.05,$21,0.09098901098901098
2014-09-30,43.473421875,0.00021617023189945267,13.38,$20,0.0891304347826087
2014-12-31,46.944421875,0.0022676411994976605,13.67,$20,0.10130434782608697
2015-03-31,47.9293606557377,-0.00039381134315546925,13.37,$19,0.11288888888888889
2015-06-30,47.70357142857143,0.00014847265307279164,14.07,$20,0.1256043956043956
2015-09-30,46.4261875,-0.0007742836384525952,13.77,$20,0.13478260869565217
2015-12-31,51.168703125,0.0018320889820692427,15.24,$20,0.16108695652173913
2016-03-31,48.65070491803279,-0.0011913634348156214,13.29,$21,0.3597802197802198
2016-06-30,47.837953125,-0.00015545146419886947,12.81,$20,0.36934065934065935
2016-09-30,48.372609374999996,0.0007690576288043559,11.98,$22,0.39489130434782604
2016-12-31,58.768206349206345,0.005561743768718777,16.35,$21,0.44815217391304346
2017-03-31,67.01711290322581,-0.0011255549342243751,15.94,$20,0.698888888888889
2017-06-30,62.781079365079364,-0.000466874425165445,15.11,$21,0.9473626373626375
2017-09-30,64.50960317460317,0.0019084239854261097,18.45,$21,1.1536956521739128
2017-12-31,68.69346666666667,-0.0011568545045144336,23.82,$23,1.2027777777777777
