date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,21.472564516129033,0.0012975223078799463,19.48,$691,0.10417582417582417
2012-06-30,23.88736507936508,0.0020189261881245575,22.12,$696,0.1523076923076923
2012-09-30,25.319761904761904,-0.0002759793048318276,20.46,$725,0.14434782608695654
2012-12-31,24.460032258064516,-1.1107271010389205e-05,19.27,$810,0.16119565217391305
2013-03-31,27.5259,0.003242467083824067,22.39,$779,0.14366666666666666
2013-06-30,29.067015625,-0.0005338180459797792,21.01,$788,0.11582417582417584
2013-09-30,28.775015625,-0.00030736423657485787,19.73,$805,0.08521739130434783
2013-12-31,30.256703125,0.0015761917121152082,21.2,$823,0.08554347826086957
2014-03-31,31.29306557377049,0.0008000571078640162,22.44,$782,0.07222222222222222
2014-06-30,32.58450793650794,0.000290445807613083,22.5,$808,0.09098901098901098
2014-09-30,32.42921875,0.00014783538757673007,21.97,$842,0.0891304347826087
2014-12-31,35.334453125,0.0019205577413280491,23.71,$866,0.10130434782608697
2015-03-31,40.018967213114756,0.0014296470148675673,25.22,$812,0.11288888888888889
2015-06-30,40.391126984126984,-0.0007295592094687162,24.85,$847,0.1256043956043956
2015-09-30,41.494171875,0.0006470168173792999,25.37,$862,0.13478260869565217
2015-12-31,41.64340625,0.00029676122051376826,25.44,$874,0.16108695652173913
2016-03-31,42.602377049180326,0.0014984272017354106,27.15,$849,0.3597802197802198
2016-06-30,47.263375,0.0018263823154800948,27.71,$877,0.36934065934065935
2016-09-30,48.511671875,-0.0010020459445803896,25.56,$871,0.39489130434782604
2016-12-31,44.95669841269841,-0.0011075957185926167,23.53,$896,0.44815217391304346
2017-03-31,47.34391935483871,0.0020467376382049414,25.49,$877,0.698888888888889
2017-06-30,50.83234920634921,0.0007200878919761338,28.74,$898,0.9473626373626375
2017-09-30,50.68125396825397,-0.0009866822008134874,26.17,$968,1.1536956521739128
2017-12-31,46.22533333333333,-0.00257370629034277,16.21,"$1,033",1.2027777777777777
