date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,11.18491935483871,0.0025014793683157577,2.66,$587,0.10417582417582417
2012-06-30,9.41761746031746,-0.0009471527541924462,2.67,$555,0.1523076923076923
2012-09-30,9.644638095238095,-0.0009931105427748179,2.32,$500,0.14434782608695654
2012-12-31,10.827246774193549,0.0035799265035151187,3.51,$502,0.16119565217391305
2013-03-31,12.4178,0.0004971157035824939,3.53,$618,0.14366666666666666
2013-06-30,11.88415625,0.0025688352228861525,3.36,$684,0.11582417582417584
2013-09-30,15.27175,0.005103360651152295,4.57,$602,0.08521739130434783
2013-12-31,18.12175,-0.001774062142467116,3.82,$695,0.08554347826086957
2014-03-31,16.96139344262295,0.0005709872201416872,3.82,$741,0.07222222222222222
2014-06-30,16.7654126984127,0.0010566577556430073,4.05,$689,0.09098901098901098
2014-09-30,16.985890625,-0.002044158019556222,3.37,$590,0.0891304347826087
2014-12-31,14.872140625,0.0004820787092536163,3.51,$650,0.10130434782608697
2015-03-31,15.993114754098361,0.0007144354233393841,4.08,$599,0.11288888888888889
2015-06-30,16.379190476190473,-0.0015327778532465098,3.62,$622,0.1256043956043956
2015-09-30,12.84921875,-0.0045075934436845655,3.4,$450,0.13478260869565217
2015-12-31,10.7192234375,-0.0020590979303835803,4.6,$428,0.16108695652173913
2016-03-31,8.529855737704917,-0.0011439395731204173,4.52,$490,0.3597802197802198
2016-06-30,9.670165625,0.002954018689699439,6.84,$552,0.36934065934065935
2016-09-30,10.4436875,9.334495109329655e-05,5.41,$435,0.39489130434782604
2016-12-31,11.463619047619048,0.004021061547452978,4.82,$510,0.44815217391304346
2017-03-31,14.636096774193549,0.004979598999950326,5.03,$724,0.698888888888889
2017-06-30,17.34431746031746,0.0008119842036021943,5.19,$616,0.9473626373626375
2017-09-30,19.86095238095238,0.003911079220434124,5.59,$550,1.1536956521739128
2017-12-31,22.796666666666667,-0.00034601995092202004,4.77,$673,1.2027777777777777
