date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,11.581080645161292,0.003806813200013286,32.38,$88,0.10417582417582417
2012-06-30,12.140698412698413,0.0008395403495305387,26.56,$86,0.1523076923076923
2012-09-30,13.03831746031746,0.00031136808189273567,11.82,$86,0.14434782608695654
2012-12-31,12.370709677419356,-0.0005615354200194924,10.38,$85,0.16119565217391305
2013-03-31,14.289883333333334,0.004296732777289695,12.67,$81,0.14366666666666666
2013-06-30,16.59578125,0.0028513327419721173,14.29,$85,0.11582417582417584
2013-09-30,20.794265625,0.001827732010805586,14.96,$93,0.08521739130434783
2013-12-31,24.419015625,0.0030222784830560186,17.29,$97,0.08554347826086957
2014-03-31,24.701983606557377,-0.0002588926506290175,16.01,$93,0.07222222222222222
2014-06-30,23.753968253968253,-0.00021045586137345145,14.96,$96,0.09098901098901098
2014-09-30,24.046140625,-0.0012774894305629773,13.26,$100,0.0891304347826087
2014-12-31,24.260046875,0.0014639797535601611,14.33,$100,0.10130434782608697
2015-03-31,22.49706557377049,-0.0012198875264421236,13.04,$100,0.11288888888888889
2015-06-30,25.144333333333336,0.002664629991954704,15.27,$104,0.1256043956043956
2015-09-30,25.35646875,-0.0014503075856171239,13.88,$106,0.13478260869565217
2015-12-31,25.7155,0.0004576503199339825,13.96,$108,0.16108695652173913
2016-03-31,22.961967213114754,-0.0003247648236806357,13.45,$109,0.3597802197802198
2016-06-30,24.79353125,0.0009938975212751243,14.09,$113,0.36934065934065935
2016-09-30,27.126046875,0.0012926283693538328,15.14,$114,0.39489130434782604
2016-12-31,31.171539682539684,0.004127148010994289,19.23,$116,0.44815217391304346
2017-03-31,34.75046774193548,-0.0007777639141409451,17.83,$113,0.698888888888889
2017-06-30,33.76963492063492,0.0014309763639181118,19.01,$122,0.9473626373626375
2017-09-30,34.43977777777778,0.0007759618545394062,19.19,$128,1.1536956521739128
2017-12-31,37.271,-0.0014684313640350092,23.07,$125,1.2027777777777777
