date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,20.438387096774196,0.002817120986463213,14.66,"$1,085",0.10417582417582417
2012-06-30,21.80857142857143,0.0014488195639400514,17.26,"$1,046",0.1523076923076923
2012-09-30,25.01904761904762,0.0018840588415195336,48.84,"$1,621",0.14434782608695654
2012-12-31,24.738225806451613,-0.002304321299519869,105.14,"$2,520",0.16119565217391305
2013-03-31,25.788333333333334,0.0028463760554551854,150.89,"$2,490",0.14366666666666666
2013-06-30,29.2403125,0.0015393490609009377,73.23,"$2,497",0.11582417582417584
2013-09-30,32.5834375,0.0030248185556782225,25.07,"$2,344",0.08521739130434783
2013-12-31,35.37140625,-0.0006029383092387656,17.89,"$2,377",0.08554347826086957
2014-03-31,31.583770491803282,-0.0011212561842069634,14.25,"$2,460",0.07222222222222222
2014-06-30,33.75222222222222,0.0022797411862884795,15.63,"$2,465",0.09098901098901098
2014-09-30,35.1671875,-0.000704592234864472,13.84,"$2,193",0.0891304347826087
2014-12-31,35.45375,0.0019977817687473684,15.33,"$2,040",0.10130434782608697
2015-03-31,40.93737704918033,0.0018709703429792225,17.12,"$2,163",0.11288888888888889
2015-06-30,43.09666666666667,-0.0012079798732702437,15.76,"$2,081",0.1256043956043956
2015-09-30,37.4928125,-0.0010576490413633163,14.78,"$1,979",0.13478260869565217
2015-12-31,39.7790625,0.001695413634246636,16.54,"$2,011",0.16108695652173913
2016-03-31,41.8272131147541,0.003058859793891353,19.66,"$2,005",0.3597802197802198
2016-06-30,46.2453125,-0.0016369114914433162,17.29,"$2,070",0.36934065934065935
2016-09-30,47.213125,0.001808106546964408,18.39,"$5,764",0.39489130434782604
2016-12-31,47.59888888888889,0.0002282668380091831,17.79,"$2,004",0.44815217391304346
2017-03-31,47.984032258064516,1.579308436743469e-05,17.62,"$2,059",0.698888888888889
2017-06-30,48.85015873015873,0.00104676546259296,18.78,"$2,110",0.9473626373626375
2017-09-30,51.3315873015873,0.0002865706214455565,19.95,"$2,088",1.1536956521739128
2017-12-31,52.891,0.000974108720945055,20.12,"$2,217",1.2027777777777777
