date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,1.8874193548387097,0.004190535544742563,0.0,$14,0.10417582417582417
2012-06-30,2.028888888888889,0.0007819230061420164,0.0,$14,0.1523076923076923
2012-09-30,1.877936507936508,0.0014332199837777018,0.0,$14,0.14434782608695654
2012-12-31,1.6238709677419354,-0.0009065918601489141,0.0,$16,0.16119565217391305
2013-03-31,1.6618333333333335,0.0029294021938383614,0.0,$15,0.14366666666666666
2013-06-30,1.52765625,-0.002088014556737546,149.0,$15,0.11582417582417584
2013-09-30,1.4709375,-0.002018449754435287,32.0,$16,0.08521739130434783
2013-12-31,1.75046875,0.008463337216670816,30.57,$17,0.08554347826086957
2014-03-31,2.576065573770492,0.004922479751624542,27.76,$17,0.07222222222222222
2014-06-30,2.755079365079365,-0.0005412096598765072,18.93,$16,0.09098901098901098
2014-09-30,2.8265625,0.002830589214116117,20.93,$17,0.0891304347826087
2014-12-31,3.1779687500000002,0.0010944371303601968,19.69,$16,0.10130434782608697
2015-03-31,2.704754098360656,-0.002189966148190817,24.64,$17,0.11288888888888889
2015-06-30,3.125873015873016,0.002933047511845259,31.9,$17,0.1256043956043956
2015-09-30,2.95515625,-0.0019120121333803877,23.0,$18,0.13478260869565217
2015-12-31,2.8640546875,0.0016123785109825595,18.88,$19,0.16108695652173913
2016-03-31,3.1575426229508197,0.002834402653136536,17.6,$18,0.3597802197802198
2016-06-30,3.1462375,-0.004324151692412508,13.0,$18,0.36934065934065935
2016-09-30,2.8331125,0.0015498963293642028,19.86,$17,0.39489130434782604
2016-12-31,2.2466809523809523,0.0009599886734008173,85.0,$17,0.44815217391304346
2017-03-31,2.2742887096774194,-0.00120587703355989,0.0,$18,0.698888888888889
2017-06-30,1.8026507936507936,-0.0032320778116027454,0.0,$17,0.9473626373626375
2017-09-30,1.8976777777777778,0.003450477134950055,0.0,$18,1.1536956521739128
2017-12-31,2.0429633333333332,0.002851503440466389,0.0,$19,1.2027777777777777
