date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,42.81338709677419,-0.0001910588176893358,13.46,"$9,479",0.10417582417582417
2012-06-30,38.04528571428572,-0.0009870326840886073,12.58,"$9,619",0.1523076923076923
2012-09-30,36.50504761904762,-0.0007979387387780835,11.88,"$9,912",0.14434782608695654
2012-12-31,36.988048387096775,0.002482257122066864,14.27,"$9,936",0.16119565217391305
2013-03-31,40.14255,-0.0004130794774845366,13.63,"$10,184",0.14366666666666666
2013-06-30,38.9430625,0.00019338773243758253,13.58,"$10,480",0.11582417582417584
2013-09-30,37.7226875,-0.0009001116706663353,12.69,"$10,494",0.08521739130434783
2013-12-31,38.616125,0.002382443743080293,14.02,"$10,405",0.08554347826086957
2014-03-31,43.39759016393443,0.0004411976369158176,14.18,"$10,551",0.07222222222222222
2014-06-30,44.91198412698412,0.0018009884907717838,16.01,"$11,343",0.09098901098901098
2014-09-30,43.971640625,-0.0031440027341383004,12.73,"$11,714",0.0891304347826087
2014-12-31,42.562046875,0.0027119201404679355,13.96,"$9,785",0.10130434782608697
2015-03-31,51.13790163934426,0.0034175653790433145,16.74,"$7,341",0.11288888888888889
2015-06-30,51.584920634920636,-0.0027799140196245946,15.23,"$8,496",0.1256043956043956
2015-09-30,41.08184375,-0.004255889058493695,11.67,"$7,811",0.13478260869565217
2015-12-31,40.462609375,0.0014049457456807406,13.5,"$6,734",0.16108695652173913
2016-03-31,42.47893442622951,0.004253030852367738,17.27,"$5,191",0.3597802197802198
2016-06-30,46.1529375,-0.00020079869891447,16.84,"$6,633",0.36934065934065935
2016-09-30,45.763328125,-0.00027135523418353805,17.08,"$7,400",0.39489130434782604
2016-12-31,44.30277777777778,0.0001332454317707925,23.59,"$7,792",0.44815217391304346
2017-03-31,40.45709677419355,-0.003533364205412883,22.34,"$8,194",0.698888888888889
2017-06-30,36.45892063492063,0.0010244796889246823,23.58,"$8,086",0.9473626373626375
2017-09-30,35.60319047619048,-0.0016791827595636188,90.9,"$8,543",1.1536956521739128
2017-12-31,32.96226666666667,-0.0071686309753529595,0.0,"$8,872",1.2027777777777777
