date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,9.656533870967742,0.0027711674404151407,8.45,"$1,507",0.10417582417582417
2012-06-30,9.576825396825397,-0.0005093245325224773,7.84,"$1,716",0.1523076923076923
2012-09-30,9.671390476190476,0.0008906461549547054,10.74,"$1,670",0.14434782608695654
2012-12-31,9.509795161290322,7.134056311389998e-05,8.56,"$2,063",0.16119565217391305
2013-03-31,11.114266666666667,0.0029710433639604,10.63,"$1,543",0.14366666666666666
2013-06-30,12.688203125,0.001931485447368599,12.49,"$1,756",0.11582417582417584
2013-09-30,14.592609375,0.0027401104605047806,15.53,"$1,700",0.08521739130434783
2013-12-31,15.314203125,0.00062211418756347,22.6,"$2,123",0.08554347826086957
2014-03-31,15.620196721311475,-0.00033510615674995666,19.09,"$1,638",0.07222222222222222
2014-06-30,16.66952380952381,0.002197047263161343,20.34,"$1,851",0.09098901098901098
2014-09-30,17.896359375,-0.0008560188516316021,16.88,"$1,841",0.0891304347826087
2014-12-31,17.837703125,0.0021208049013783925,14.25,"$2,207",0.10130434782608697
2015-03-31,19.784475409836066,0.0012508055988702436,14.6,"$1,676",0.11288888888888889
2015-06-30,19.45019047619048,-0.0020252866326257103,12.17,"$1,876",0.1256043956043956
2015-09-30,18.827296875000002,0.0001314431410916004,12.46,"$1,866",0.13478260869565217
2015-12-31,21.309390625,0.003229997056261596,16.63,"$2,196",0.16108695652173913
2016-03-31,20.62293442622951,6.975318233652684e-07,16.36,"$1,742",0.3597802197802198
2016-06-30,22.570203125,0.000289908903844404,15.33,"$1,918",0.36934065934065935
2016-09-30,22.22578125,-0.0003285387102602826,13.37,"$1,922",0.39489130434782604
2016-12-31,22.489,0.0009096360199373545,12.67,"$3,474",0.44815217391304346
2017-03-31,23.500887096774196,0.000963196892302964,13.05,"$2,064",0.698888888888889
2017-06-30,24.10377777777778,0.00019742795925589124,14.48,"$2,186",0.9473626373626375
2017-09-30,21.61866666666667,-0.0022558577313120027,11.92,"$2,208",1.1536956521739128
2017-12-31,20.123333333333335,-0.003219148923648829,11.43,"$2,590",1.2027777777777777
