date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,21.71672580645161,0.002315187255354589,12.92,$366,0.10417582417582417
2012-06-30,22.997730158730157,0.002526987230216206,16.23,$354,0.1523076923076923
2012-09-30,25.749507936507936,0.00019423988320895565,19.18,$331,0.14434782608695654
2012-12-31,25.743435483870968,0.0004131227806468094,16.88,$454,0.16119565217391305
2013-03-31,29.450266666666668,0.003239283534075301,23.42,$347,0.14366666666666666
2013-06-30,34.880734375,0.0020924685262837563,38.13,$350,0.11582417582417584
2013-09-30,38.3158125,0.0003628742572377112,30.64,$338,0.08521739130434783
2013-12-31,41.936671875,0.0035860987132487233,30.98,$450,0.08554347826086957
2014-03-31,51.832836065573765,0.0028303828942097967,34.55,$341,0.07222222222222222
2014-06-30,54.615984126984124,0.0003907346160710691,23.52,$348,0.09098901098901098
2014-09-30,57.574171875,0.002259728958286026,28.29,$345,0.0891304347826087
2014-12-31,69.852265625,0.0026272472801436315,30.79,$469,0.10130434782608697
2015-03-31,87.08108196721311,0.003163078302476677,33.63,$358,0.11288888888888889
2015-06-30,86.55728571428573,-0.0011830618342906923,29.84,$360,0.1256043956043956
2015-09-30,82.501265625,-0.0018846043303472684,24.06,$354,0.13478260869565217
2015-12-31,73.68042187500001,0.00021658010138009103,23.96,$471,0.16108695652173913
2016-03-31,68.51042622950818,-0.0025187451516569463,18.49,$361,0.3597802197802198
2016-06-30,73.92628125,0.0050235331092913366,23.46,$369,0.36934065934065935
2016-09-30,93.20146875,0.0019262684962186617,23.82,$-39,0.39489130434782604
2016-12-31,100.65395238095238,0.0025788999254870147,26.44,$353,0.44815217391304346
2017-03-31,102.47229032258065,-0.001335430685848297,22.88,$266,0.698888888888889
2017-06-30,102.5476507936508,-0.0003494300814807602,20.66,$246,0.9473626373626375
2017-09-30,95.42553968253968,0.0006732900733073206,21.27,$232,1.1536956521739128
2017-12-31,101.22366666666667,-0.0005897664013413961,24.44,$294,1.2027777777777777
