date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,18.32453225806452,0.0008411027729866876,15.03,$853,0.10417582417582417
2012-06-30,18.79973015873016,-0.0003917654204192019,13.98,$968,0.1523076923076923
2012-09-30,18.995301587301586,0.0004617585577911968,25.59,"$1,174",0.14434782608695654
2012-12-31,18.196354838709677,-0.0004074143218970307,0.0,"$1,081",0.16119565217391305
2013-03-31,20.35408333333333,0.002872828740615139,171.35,$932,0.14366666666666666
2013-06-30,22.09165625,0.0007643408221729934,327.92,"$1,061",0.11582417582417584
2013-09-30,24.365328125,0.0013785720128257767,32.39,"$1,286",0.08521739130434783
2013-12-31,26.208734375,0.001546395078138944,16.09,$642,0.08554347826086957
2014-03-31,29.06332786885246,0.0020500604882027398,18.17,"$1,043",0.07222222222222222
2014-06-30,30.735714285714284,0.0004958493655319642,18.19,$953,0.09098901098901098
2014-09-30,28.14896875,-0.003473838166832022,13.67,"$1,213",0.0891304347826087
2014-12-31,22.968546875,-0.002328978494750866,12.02,$906,0.10130434782608697
2015-03-31,20.36006557377049,-0.0012577297824492072,0.0,$862,0.11288888888888889
2015-06-30,19.44868253968254,-0.0011750729861274383,0.0,$938,0.1256043956043956
2015-09-30,16.63396875,-0.0015073224241091317,0.0,"$1,198",0.13478260869565217
2015-12-31,17.11740625,0.0013651849625369323,0.0,"$1,015",0.16108695652173913
2016-03-31,16.843196721311475,0.001331250656046864,0.0,$860,0.3597802197802198
2016-06-30,20.55146875,0.0034824381225734904,0.0,"$1,044",0.36934065934065935
2016-09-30,23.21746875,0.001107461978739309,82.31,"$1,209",0.39489130434782604
2016-12-31,26.49131746031746,0.002170776062948962,76.14,"$1,016",0.44815217391304346
2017-03-31,26.957209677419353,-0.0005909579382316424,61.43,$938,0.698888888888889
2017-06-30,26.578349206349206,-0.0005400364895407619,19.57,"$1,068",0.9473626373626375
2017-09-30,26.095095238095237,6.06422635046005e-07,19.03,"$1,273",1.1536956521739128
2017-12-31,26.837,0.0006437646902327214,16.27,"$1,165",1.2027777777777777
