date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,4.714346774193548,0.003405850219110293,20.65,$38,0.10417582417582417
2012-06-30,4.546774603174603,0.0007100073118505068,18.41,$38,0.1523076923076923
2012-09-30,4.583030158730159,9.132609638493887e-06,16.02,$38,0.14434782608695654
2012-12-31,4.788474193548387,0.0011484178590601493,23.23,$34,0.16119565217391305
2013-03-31,5.849763333333333,0.00445723860515196,30.03,$44,0.14366666666666666
2013-06-30,6.5271859375,0.0017551919278540919,34.67,$42,0.11582417582417584
2013-09-30,7.9586953125,0.0021927761858674764,41.7,$42,0.08521739130434783
2013-12-31,8.214596875,0.002082149612871686,39.37,$40,0.08554347826086957
2014-03-31,7.699183606557376,-0.004404403306508478,28.16,$48,0.07222222222222222
2014-06-30,6.854973015873016,0.0018439667957966827,27.31,$48,0.09098901098901098
2014-09-30,7.50155625,-0.00038367629681289143,26.06,$38,0.0891304347826087
2014-12-31,6.8668625,0.001691017446261673,29.33,$37,0.10130434782608697
2015-03-31,7.39803606557377,0.0007365151438164465,26.48,$51,0.11288888888888889
2015-06-30,6.644347619047619,-0.004738374138106439,16.81,$59,0.1256043956043956
2015-09-30,6.160965625,0.00207119007236462,17.1,$47,0.13478260869565217
2015-12-31,6.40788125,-0.0017712813188658725,13.0,$50,0.16108695652173913
2016-03-31,6.569006557377049,0.004455430580971992,15.64,$64,0.3597802197802198
2016-06-30,7.9087890625,0.002031909733599681,17.14,$65,0.36934065934065935
2016-09-30,8.583059375,0.001137518919741884,17.05,$55,0.39489130434782604
2016-12-31,10.521555555555555,0.007310265469161777,26.54,$57,0.44815217391304346
2017-03-31,11.287516129032259,-0.003449462543809632,18.8,$71,0.698888888888889
2017-06-30,12.714984126984127,0.006106446218069458,24.63,$71,0.9473626373626375
2017-09-30,15.002650793650794,0.0007260775860049849,24.53,$59,1.1536956521739128
2017-12-31,14.969766666666667,-0.0039752233941752835,19.64,$66,1.2027777777777777
