date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,38.166725806451616,0.00010414586553314151,10.36,$621,0.10417582417582417
2012-06-30,39.79019047619048,0.0014261975132020138,10.27,$879,0.1523076923076923
2012-09-30,43.321555555555555,0.0005103593333253857,10.93,"$1,109",0.14434782608695654
2012-12-31,42.8001935483871,-0.00036673093959625535,10.38,$693,0.16119565217391305
2013-03-31,45.73965,0.002314652698131699,10.95,$687,0.14366666666666666
2013-06-30,49.101171875,-0.00045001710376911183,10.4,$916,0.11582417582417584
2013-09-30,47.91946875,-1.1422395831612794e-05,10.84,"$1,152",0.08521739130434783
2013-12-31,47.19128125,-0.0003338830087070248,10.52,$700,0.08554347826086957
2014-03-31,46.678639344262294,0.0007608623055944111,11.23,$686,0.07222222222222222
2014-06-30,48.688317460317464,0.0011043565560516406,11.97,$906,0.09098901098901098
2014-09-30,49.53878125,-0.0006797937742518498,10.94,"$1,173",0.0891304347826087
2014-12-31,55.82175,0.0037105187601398013,14.47,$726,0.10130434782608697
2015-03-31,60.48250819672131,-0.0009133811406279255,13.62,$671,0.11288888888888889
2015-06-30,55.126507936507934,-0.001606973410605933,12.59,$891,0.1256043956043956
2015-09-30,56.431890625,0.0021031099184763025,13.93,"$1,199",0.13478260869565217
2015-12-31,59.33484375,0.0003199093668976444,12.98,$734,0.16108695652173913
2016-03-31,64.41355737704917,0.00271831583876364,15.66,$677,0.3597802197802198
2016-06-30,70.853109375,0.0013881794772476995,17.15,$915,0.36934065934065935
2016-09-30,74.600078125,-0.0008239064027401113,15.99,"$1,167",0.39489130434782604
2016-12-31,72.45387301587301,0.0006304395043003046,16.15,$739,0.44815217391304346
2017-03-31,77.91646774193548,0.0012398154698595963,16.68,$678,0.698888888888889
2017-06-30,84.64987301587301,0.00047322606822328096,15.61,$945,0.9473626373626375
2017-09-30,86.76161904761905,3.213536496746293e-05,15.25,"$1,183",1.1536956521739128
2017-12-31,87.12466666666666,0.0017402958290178314,16.48,$760,1.2027777777777777
