date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,7.758411290322581,0.00257608327835683,4.72,"$2,207",0.10417582417582417
2012-06-30,5.8760666666666665,-0.006971331377969996,8.63,"$2,041",0.1523076923076923
2012-09-30,4.4133571428571425,0.0006251016683410395,62.81,"$2,108",0.14434782608695654
2012-12-31,4.3565129032258065,0.00109735678975516,0.0,"$2,273",0.16119565217391305
2013-03-31,4.41955,-0.0040857204522761,0.0,"$1,799",0.14366666666666666
2013-06-30,3.0427203125,-0.0066452515518431,5.79,"$1,597",0.11582417582417584
2013-09-30,2.9742671875,0.007692681468405868,7.26,"$1,999",0.08521739130434783
2013-12-31,4.8558734375,0.006452819641203348,25.81,"$2,111",0.08554347826086957
2014-03-31,4.337149180327869,-0.004647159896198912,17.77,"$1,958",0.07222222222222222
2014-06-30,3.856031746031746,-0.00015963480646150537,82.49,"$1,451",0.09098901098901098
2014-09-30,4.2779078125,-0.0024745000930962192,0.0,"$1,507",0.0891304347826087
2014-12-31,2.5855546875,-0.0076041159572466585,0.0,"$1,226",0.10130434782608697
2015-03-31,1.7240983606557376,-0.0014353388885139109,28.0,"$1,301",0.11288888888888889
2015-06-30,2.137142857142857,0.0004399032788844066,0.0,$935,0.1256043956043956
2015-09-30,1.16203125,-0.00669675362192698,0.0,"$1,127",0.13478260869565217
2015-12-31,1.2277484375,0.0016727619654130187,3.01,$957,0.16108695652173913
2016-03-31,1.316111475409836,0.015078766277223718,82.08,$988,0.3597802197802198
2016-06-30,2.58015625,0.005999386883026973,12.76,"$1,242",0.36934065934065935
2016-09-30,2.9521875,0.002739659002275954,9.2,"$1,379",0.39489130434782604
2016-12-31,3.252857142857143,0.003213805530688812,0.0,"$1,308",0.44815217391304346
2017-03-31,3.633387096774194,-0.0008723441342209711,0.0,"$1,404",0.698888888888889
2017-06-30,2.23031746031746,-0.003817340251279201,0.0,"$1,344",0.9473626373626375
2017-09-30,2.683174603174603,0.0055736572533108915,0.0,"$1,521",1.1536956521739128
2017-12-31,2.878333333333333,-0.007152873581842319,0.0,"$1,533",1.2027777777777777
