date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,3.8369354838709677,-0.001179836651098867,0.0,$5,0.10417582417582417
2012-06-30,3.535873015873016,-0.0012057592752662783,0.0,$5,0.1523076923076923
2012-09-30,2.9295746031746033,-0.0032982386432480627,0.0,$5,0.14434782608695654
2012-12-31,2.6839983870967745,-0.0016177372584214947,0.0,$6,0.16119565217391305
2013-03-31,2.7517833333333335,0.003534431546474572,0.0,$5,0.14366666666666666
2013-06-30,2.9098171875,-0.00017263332510965464,0.0,$5,0.11582417582417584
2013-09-30,2.701775,0.0026384208324864624,0.0,$6,0.08521739130434783
2013-12-31,4.24015625,0.007253145231143945,0.0,$8,0.08554347826086957
2014-03-31,4.713016393442622,-4.3793065169910984e-05,0.0,$6,0.07222222222222222
2014-06-30,4.130157142857143,-0.0003672019099245004,62.86,$7,0.09098901098901098
2014-09-30,4.500453125,-2.112661636291188e-06,72.83,$7,0.0891304347826087
2014-12-31,4.442909375,0.00016878762264345426,42.6,$9,0.10130434782608697
2015-03-31,5.0548229508196725,0.006795235650171836,57.73,$6,0.11288888888888889
2015-06-30,6.262063492063492,0.0016117030337434723,86.88,$9,0.1256043956043956
2015-09-30,7.2271875,0.0043420938757593435,97.33,$8,0.13478260869565217
2015-12-31,8.6659375,0.0005567670379705812,108.75,$10,0.16108695652173913
2016-03-31,6.063852459016394,-0.007033967827974817,91.67,$7,0.3597802197802198
2016-06-30,4.7315015625,-0.003155387558549414,0.0,$9,0.36934065934065935
2016-09-30,4.847584375,0.000493827232326962,0.0,$10,0.39489130434782604
2016-12-31,4.060714285714286,-0.0017069478286567826,0.0,$10,0.44815217391304346
2017-03-31,4.594645161290322,0.0037035269697300883,0.0,$9,0.698888888888889
2017-06-30,4.269206349206349,-0.0004173647813053373,0.0,$10,0.9473626373626375
2017-09-30,4.808333333333334,0.0022146745678635555,0.0,$10,1.1536956521739128
2017-12-31,4.336,-0.003862794167886789,409.0,$11,1.2027777777777777
