date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,13.345725806451613,0.005623631841761392,0.0,$96,0.10417582417582417
2012-06-30,15.001904761904761,-0.0005789243240628234,0.0,$94,0.1523076923076923
2012-09-30,15.014285714285714,0.002188229555049686,0.0,$71,0.14434782608695654
2012-12-31,18.581370967741936,0.0015999971492502913,265.93,$46,0.16119565217391305
2013-03-31,22.445,0.0048395812481348815,75.62,$108,0.14366666666666666
2013-06-30,25.7109375,-4.266588737876151e-05,51.04,$99,0.11582417582417584
2013-09-30,23.2784375,0.0009735725300686719,56.28,$72,0.08521739130434783
2013-12-31,32.736171875000004,0.0079975597026592,39.77,$64,0.08554347826086957
2014-03-31,35.80155737704918,-0.000602248926876198,49.43,$101,0.07222222222222222
2014-06-30,33.8984126984127,-0.0034510191239943452,35.15,$121,0.09098901098901098
2014-09-30,33.5353125,0.003199522805331822,22.23,$96,0.0891304347826087
2014-12-31,39.83171875,0.0034839708478849683,33.65,$74,0.10130434782608697
2015-03-31,46.149836065573766,0.004339603669704917,37.61,$121,0.11288888888888889
2015-06-30,51.275079365079364,-0.0013184030111476927,31.48,$137,0.1256043956043956
2015-09-30,41.091875,-0.005670380578239756,23.64,$94,0.13478260869565217
2015-12-31,40.088125,0.0023927114976146652,25.19,$89,0.16108695652173913
2016-03-31,38.959508196721316,0.004211653025681316,27.55,$132,0.3597802197802198
2016-06-30,45.13484375,-0.0008215591695185844,23.04,$146,0.36934065934065935
2016-09-30,55.7796875,0.004477888477998734,28.5,$106,0.39489130434782604
2016-12-31,62.477777777777774,0.0017475776424672232,28.88,$95,0.44815217391304346
2017-03-31,68.94032258064516,0.0013874206254018892,28.91,$145,0.698888888888889
2017-06-30,67.51285714285714,-0.00021400089898905946,26.22,$158,0.9473626373626375
2017-09-30,76.23714285714286,0.00466262053440049,29.73,$140,1.1536956521739128
2017-12-31,92.921,0.0054728999303458835,33.66,$122,1.2027777777777777
