date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,36.95209677419355,0.0011873791773091163,36.18,$206,0.10417582417582417
2012-06-30,40.67190476190476,0.0021330065866455327,28.29,$214,0.1523076923076923
2012-09-30,46.06395238095238,0.0018595577610790166,29.51,$224,0.14434782608695654
2012-12-31,41.65498387096774,-0.003041291287274195,19.81,$230,0.16119565217391305
2013-03-31,43.910666666666664,0.0033729609109478197,22.95,$236,0.14366666666666666
2013-06-30,46.331578125,-0.0008256511389623713,20.39,$239,0.11582417582417584
2013-09-30,48.28140625,0.0020755503694039196,22.62,$244,0.08521739130434783
2013-12-31,55.05671875,0.002559178439015035,16.89,$246,0.08554347826086957
2014-03-31,56.602295081967206,-0.0015745775291521507,14.73,$249,0.07222222222222222
2014-06-30,49.836190476190474,-0.0015029268905545274,12.78,$250,0.09098901098901098
2014-09-30,54.010859375,0.0020455420050273145,13.85,$255,0.0891304347826087
2014-12-31,57.7578125,0.0006080307481801939,22.62,$256,0.10130434782608697
2015-03-31,60.80131147540984,0.0027341274612925313,26.37,$258,0.11288888888888889
2015-06-30,64.44150793650793,-0.0012396321199880558,24.4,$263,0.1256043956043956
2015-09-30,68.125,0.0021916726252566836,27.78,$266,0.13478260869565217
2015-12-31,83.375,0.003453074736527109,30.98,$273,0.16108695652173913
2016-03-31,81.71360655737705,0.0003918450718211974,29.71,$282,0.3597802197802198
2016-06-30,86.211875,-0.00028978730055186433,27.45,$286,0.36934065934065935
2016-09-30,80.22390625,-0.0014295077351924868,23.36,$288,0.39489130434782604
2016-12-31,79.0579365079365,-0.0003195928297441014,22.18,$286,0.44815217391304346
2017-03-31,83.08612903225807,0.002227187852132402,24.54,$289,0.698888888888889
2017-06-30,90.3136507936508,0.001063429535373001,25.33,$289,0.9473626373626375
2017-09-30,100.68825396825396,0.0021772151030186745,28.75,$292,1.1536956521739128
2017-12-31,108.68266666666666,0.0010687052569343732,31.01,$296,1.2027777777777777
