Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,11.75,"$19,336"
2010-03-31,12.02,"$19,301"
2010-06-30,12.19,"$19,602"
2010-09-30,11.49,"$19,538"
2010-12-31,12.54,"$19,889"
2011-03-31,13.73,"$19,760"
2011-06-30,13.89,"$20,161"
2011-09-30,12.35,"$18,886"
2011-12-31,12.12,"$20,312"
2012-03-31,12.78,"$19,708"
2012-06-30,12.49,"$19,327"
2012-09-30,11.8,"$18,734"
2012-12-31,12.82,"$21,060"
2013-03-31,19.53,"$20,524"
2013-06-30,21.27,"$21,907"
2013-09-30,29.09,"$24,469"
2013-12-31,47.65,"$29,176"
2014-03-31,30.94,"$28,456"
2014-06-30,58.69,"$30,348"
2014-09-30,58.85,"$31,589"
2014-12-31,998.46,"$33,589"
2015-03-31,0.0,"$32,669"
2015-06-30,0.0,"$34,234"
2015-09-30,0.0,"$35,470"
2015-12-31,58.84,"$36,709"
2016-03-31,11.82,"$35,698"
2016-06-30,9.88,"$36,882"
2016-09-30,11.56,"$37,561"
2016-12-31,11.9,"$38,169"
2017-03-31,15.67,"$37,147"
2017-06-30,22.63,"$38,707"
2017-09-30,41.3,"$39,120"
2017-12-31,18.36,"$40,466"
2018-03-31,19.73,"$41,034"
2018-06-30,15.67,"$43,142"
2018-09-30,11.54,"$43,297"
2018-12-31,12.88,"$45,392"
2019-03-31,17.57,"$43,320"
2019-06-30,18.18,"$45,239"
2019-09-30,19.56,"$45,638"
2019-12-31,26.46,"$47,865"
2020-03-31,11.25,"$47,418"
2020-06-30,12.91,"$45,367"
2020-09-30,0.0,"$49,245"
2020-12-31,0.0,"$52,517"
2021-03-31,0.0,"$49,154"
2021-06-30,0.0,"$53,406"
2021-09-30,16.0,"$58,912"
2021-12-31,17.13,"$59,629"
2022-03-31,18.81,"$57,719"
2022-07-08,17.38,"$57,719"
