Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$314
2010-03-31,0.0,$311
2010-06-30,109.19,$305
2010-09-30,41.94,$319
2010-12-31,33.9,$349
2011-03-31,52.19,$298
2011-06-30,8.38,$330
2011-09-30,4.54,$339
2011-12-31,8.8,$351
2012-03-31,13.58,$289
2012-06-30,8.79,$439
2012-09-30,4.34,$501
2012-12-31,6.18,$530
2013-03-31,4.6,$352
2013-06-30,15.05,$440
2013-09-30,48.43,$469
2013-12-31,8.91,$504
2014-03-31,8.05,$329
2014-06-30,7.29,$428
2014-09-30,7.28,$472
2014-12-31,10.11,$460
2015-03-31,9.09,$290
2015-06-30,7.82,$395
2015-09-30,7.03,$414
2015-12-31,7.9,$412
2016-03-31,8.93,$278
2016-06-30,7.53,$410
2016-09-30,7.6,$431
2016-12-31,12.98,$438
2017-03-31,13.23,$360
2017-06-30,19.99,$490
2017-09-30,17.96,$532
2017-12-31,8.9,$567
2018-03-31,8.76,$406
2018-06-30,9.49,$499
2018-09-30,7.43,$507
2018-12-31,5.96,$529
2019-03-31,8.41,$394
2019-06-30,6.95,$519
2019-09-30,9.32,$506
2019-12-31,8.06,$537
2020-03-31,4.06,$384
2020-06-30,7.72,$367
2020-09-30,7.02,$444
2020-12-31,12.37,$460
2021-03-31,22.48,$411
2021-06-30,10.42,$518
2021-09-30,10.32,$527
2021-12-31,7.72,$570
2022-03-31,6.44,$442
2022-07-08,5.33,$442
