Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.63,$46
2010-03-31,1.69,$63
2010-06-30,3.97,$53
2010-09-30,5.61,$55
2010-12-31,5.89,$73
2011-03-31,3.96,$79
2011-06-30,4.21,$59
2011-09-30,12.32,$16
2011-12-31,11.04,$73
2012-03-31,11.08,$87
2012-06-30,31.14,$44
2012-09-30,4.51,$72
2012-12-31,6.23,$65
2013-03-31,6.96,$74
2013-06-30,3.54,$88
2013-09-30,4.19,$73
2013-12-31,4.15,$66
2014-03-31,5.16,$49
2014-06-30,5.63,$71
2014-09-30,6.36,$84
2014-12-31,7.12,$70
2015-03-31,6.48,$64
2015-06-30,6.41,$85
2015-09-30,6.24,$62
2015-12-31,6.09,$74
2016-03-31,6.18,$71
2016-06-30,6.86,$77
2016-09-30,6.57,$84
2016-12-31,7.93,$101
2017-03-31,7.08,$93
2017-06-30,7.46,$102
2017-09-30,8.24,$109
2017-12-31,10.03,$114
2018-03-31,10.63,$120
2018-06-30,9.83,$142
2018-09-30,7.29,$147
2018-12-31,5.98,$147
2019-03-31,7.29,$159
2019-06-30,7.23,$178
2019-09-30,9.38,$158
2019-12-31,8.69,$170
2020-03-31,6.78,$145
2020-06-30,7.58,$139
2020-09-30,7.26,$111
2020-12-31,8.53,$125
2021-03-31,9.67,$116
2021-06-30,10.18,$108
2021-09-30,10.69,$106
2021-12-31,12.27,$114
2022-03-31,9.66,$133
2022-07-08,8.83,$133
