Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$216
2010-03-31,58.79,$136
2010-06-30,23.07,$132
2010-09-30,92.86,$49
2010-12-31,0.0,$59
2011-03-31,0.0,$47
2011-06-30,0.0,$53
2011-09-30,0.0,$53
2011-12-31,0.0,$52
2012-03-31,0.0,$52
2012-06-30,0.0,$22
2012-09-30,0.0,$24
2012-12-31,0.0,$28
2013-03-31,0.0,$19
2013-06-30,161.29,$24
2013-09-30,11.8,$25
2013-12-31,16.0,$25
2014-03-31,19.71,$28
2014-06-30,27.08,$24
2014-09-30,0.0,$26
2014-12-31,0.0,$25
2015-03-31,0.0,$29
2015-06-30,0.0,$27
2015-09-30,0.0,$30
2015-12-31,0.0,$31
2016-03-31,0.0,$32
2016-06-30,0.0,$31
2016-09-30,0.0,$33
2016-12-31,0.0,$33
2017-03-31,0.0,$31
2017-06-30,0.0,$34
2017-09-30,0.0,$30
2017-12-31,0.0,$31
2018-03-31,0.0,$32
2018-06-30,0.0,$34
2018-09-30,0.0,$34
2018-12-31,0.0,$36
2019-03-31,0.0,$37
2019-06-30,0.0,$38
2019-09-30,0.0,$41
2019-12-31,0.0,$42
2020-03-31,0.0,$40
2020-06-30,0.0,$30
2020-09-30,0.0,$34
2020-12-31,0.0,$37
2021-03-31,0.0,$36
2021-06-30,0.0,$39
2021-09-30,0.0,$38
2021-12-31,0.0,$39
2022-03-31,221.56,$47
2022-07-08,278.67,$47
