Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$98
2010-03-31,0.0,$214
2010-06-30,30.76,$227
2010-09-30,19.77,$228
2010-12-31,14.89,$73
2011-03-31,11.97,$207
2011-06-30,12.71,$190
2011-09-30,7.17,$200
2011-12-31,16.73,$191
2012-03-31,9.1,$180
2012-06-30,21.97,$192
2012-09-30,38.64,$195
2012-12-31,19.99,$194
2013-03-31,0.0,$187
2013-06-30,41.65,$198
2013-09-30,58.59,$183
2013-12-31,58.27,$190
2014-03-31,61.21,$180
2014-06-30,31.04,$194
2014-09-30,23.3,$180
2014-12-31,26.52,$192
2015-03-31,26.83,$181
2015-06-30,39.16,$172
2015-09-30,30.62,$179
2015-12-31,18.99,$177
2016-03-31,19.18,$172
2016-06-30,16.85,$203
2016-09-30,17.11,$191
2016-12-31,26.54,$213
2017-03-31,27.86,$199
2017-06-30,39.81,$216
2017-09-30,41.0,$222
2017-12-31,60.97,$227
2018-03-31,63.7,$224
2018-06-30,31.13,$255
2018-09-30,33.91,$252
2018-12-31,22.51,$252
2019-03-31,21.26,$251
2019-06-30,23.87,$274
2019-09-30,23.43,$271
2019-12-31,18.04,$258
2020-03-31,13.32,$236
2020-06-30,16.81,$226
2020-09-30,15.75,$212
2020-12-31,23.81,$227
2021-03-31,22.85,$222
2021-06-30,24.69,$235
2021-09-30,21.08,$232
2021-12-31,24.12,$240
2022-03-31,22.92,$244
2022-07-08,21.62,$244
