Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,32.49,$238
2010-03-31,39.28,$240
2010-06-30,50.09,$245
2010-09-30,59.74,$254
2010-12-31,52.28,$285
2011-03-31,40.43,$276
2011-06-30,31.79,$277
2011-09-30,19.68,$282
2011-12-31,30.17,$324
2012-03-31,34.95,$319
2012-06-30,30.53,$331
2012-09-30,35.43,$345
2012-12-31,36.2,$378
2013-03-31,27.59,$368
2013-06-30,30.83,$378
2013-09-30,33.35,$396
2013-12-31,29.3,$436
2014-03-31,35.93,$454
2014-06-30,36.35,$476
2014-09-30,34.37,$498
2014-12-31,34.22,$536
2015-03-31,37.99,$527
2015-06-30,37.95,$541
2015-09-30,37.74,$551
2015-12-31,29.57,$579
2016-03-31,31.4,$568
2016-06-30,30.73,$572
2016-09-30,30.11,$584
2016-12-31,37.25,$624
2017-03-31,32.62,$600
2017-06-30,28.63,$606
2017-09-30,29.35,$624
2017-12-31,52.03,$658
2018-03-31,64.53,$669
2018-06-30,71.79,$663
2018-09-30,55.84,$670
2018-12-31,34.51,$713
2019-03-31,33.99,$707
2019-06-30,31.43,$705
2019-09-30,33.23,$710
2019-12-31,29.68,$772
2020-03-31,30.4,$764
2020-06-30,32.45,$795
2020-09-30,32.42,$793
2020-12-31,31.25,$846
2021-03-31,28.7,$843
2021-06-30,33.22,$853
2021-09-30,28.73,$860
2021-12-31,29.78,$905
2022-03-31,32.09,$904
2022-07-08,24.77,$904
