Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,9.92,$376
2010-03-31,10.62,$413
2010-06-30,8.69,$422
2010-09-30,5.25,$405
2010-12-31,8.48,$361
2011-03-31,10.97,$359
2011-06-30,9.48,$368
2011-09-30,0.0,$370
2011-12-31,0.0,$320
2012-03-31,0.0,$371
2012-06-30,0.0,$363
2012-09-30,15.02,$364
2012-12-31,0.0,$343
2013-03-31,0.0,$329
2013-06-30,0.0,$316
2013-09-30,0.0,$301
2013-12-31,0.0,$303
2014-03-31,0.0,$299
2014-06-30,0.0,$305
2014-09-30,0.0,$300
2014-12-31,77.24,$301
2015-03-31,0.0,$302
2015-06-30,0.0,$314
2015-09-30,0.0,$326
2015-12-31,0.0,$338
2016-03-31,42.4,$349
2016-06-30,44.28,$361
2016-09-30,38.57,$362
2016-12-31,38.41,$348
2017-03-31,37.57,$365
2017-06-30,53.68,$375
2017-09-30,44.77,$374
2017-12-31,59.9,$398
2018-03-31,49.06,$399
2018-06-30,41.09,$412
2018-09-30,47.69,$417
2018-12-31,32.8,$434
2019-03-31,33.05,$467
2019-06-30,32.2,$493
2019-09-30,34.12,$495
2019-12-31,43.58,$501
2020-03-31,47.8,$492
2020-06-30,51.44,$508
2020-09-30,47.38,$549
2020-12-31,53.14,$557
2021-03-31,43.69,$546
2021-06-30,32.88,$569
2021-09-30,22.39,$553
2021-12-31,25.53,$559
2022-03-31,29.65,$545
2022-07-08,20.65,$545
