Date,PE Ratio,Revenue_Amount(Millions)
2012-03-31,31.61,$922
2012-06-30,26.44,$904
2012-09-30,24.26,$962
2012-12-31,19.32,"$1,010"
2013-03-31,29.46,$977
2013-06-30,27.58,$989
2013-09-30,34.48,"$1,021"
2013-12-31,43.94,"$1,046"
2014-03-31,51.07,$915
2014-06-30,0.0,$918
2014-09-30,0.0,$904
2014-12-31,0.0,$914
2015-03-31,0.0,$775
2015-06-30,0.0,$759
2015-09-30,0.0,$754
2015-12-31,0.0,$765
2016-03-31,0.0,$659
2016-06-30,29.78,$687
2016-09-30,15.92,$776
2016-12-31,13.31,$807
2017-03-31,15.38,$781
2017-06-30,26.83,$799
2017-09-30,24.76,$842
2017-12-31,15.89,$897
2018-03-31,20.51,$850
2018-06-30,14.54,$735
2018-09-30,12.79,$724
2018-12-31,44.09,$773
2019-03-31,29.58,$731
2019-06-30,25.76,$724
2019-09-30,23.87,$750
2019-12-31,20.0,$754
2020-03-31,45.96,$618
2020-06-30,0.0,$293
2020-09-30,0.0,"$1,377"
2020-12-31,0.0,$-303
2021-03-31,0.0,$561
2021-06-30,0.0,$593
2021-09-30,45.85,"$1,880"
2021-12-31,25.98,$-374
2022-03-31,16.84,$791
2022-07-08,13.35,$791
