Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$18
2010-03-31,15.95,$19
2010-06-30,11.0,$23
2010-09-30,12.98,$27
2010-12-31,18.32,$27
2011-03-31,11.56,$25
2011-06-30,12.85,$30
2011-09-30,7.4,$28
2011-12-31,6.84,$21
2012-03-31,11.98,$23
2012-06-30,10.97,$25
2012-09-30,16.9,$21
2012-12-31,28.1,$19
2013-03-31,0.0,$22
2013-06-30,0.0,$24
2013-09-30,0.0,$21
2013-12-31,0.0,$19
2014-03-31,0.0,$19
2014-06-30,0.0,$21
2014-09-30,0.0,$23
2014-12-31,0.0,$20
2015-03-31,0.0,$20
2015-06-30,0.0,$21
2015-09-30,0.0,$18
2015-12-31,0.0,$18
2016-03-31,0.0,$19
2016-06-30,0.0,$20
2016-09-30,86.5,$22
2016-12-31,30.0,$20
2017-03-31,32.22,$21
2017-06-30,31.75,$24
2017-09-30,38.13,$28
2017-12-31,33.46,$26
2018-03-31,23.39,$24
2018-06-30,19.58,$27
2018-09-30,20.43,$29
2018-12-31,18.13,$22
2019-03-31,31.79,$20
2019-06-30,49.5,$25
2019-09-30,0.0,$20
2019-12-31,0.0,$18
2020-03-31,0.0,$21
2020-06-30,0.0,$22
2020-09-30,0.0,$25
2020-12-31,136.71,$27
2021-03-31,72.88,$31
2021-06-30,43.92,$34
2021-09-30,26.03,$35
2021-12-31,25.91,$38
2022-03-31,21.27,$40
2022-07-08,18.27,$40
