Date,PE Ratio,Revenue_Amount(Millions)
2011-09-30,5.12,"$1,429"
2011-12-31,4.89,"$1,443"
2012-03-31,4.19,"$1,541"
2012-06-30,4.0,"$1,432"
2012-09-30,6.59,"$1,388"
2012-12-31,6.94,"$1,393"
2013-03-31,6.7,"$1,545"
2013-06-30,8.43,"$1,428"
2013-09-30,8.41,"$1,378"
2013-12-31,9.24,"$1,273"
2014-03-31,11.76,"$1,400"
2014-06-30,11.49,"$1,322"
2014-09-30,13.59,"$1,305"
2014-12-31,15.07,"$1,305"
2015-03-31,16.62,"$1,343"
2015-06-30,14.96,"$1,352"
2015-09-30,16.16,"$1,322"
2015-12-31,15.28,"$1,308"
2016-03-31,14.0,"$1,424"
2016-06-30,13.63,"$1,423"
2016-09-30,14.32,"$1,395"
2016-12-31,19.77,"$1,405"
2017-03-31,19.38,"$1,587"
2017-06-30,17.08,"$1,523"
2017-09-30,19.08,"$1,543"
2017-12-31,18.52,"$1,471"
2018-03-31,17.61,"$1,631"
2018-06-30,18.28,"$1,647"
2018-09-30,19.36,"$1,614"
2018-12-31,14.87,"$1,663"
2019-03-31,18.93,"$1,780"
2019-06-30,20.85,"$1,825"
2019-09-30,21.3,"$1,820"
2019-12-31,22.33,"$1,849"
2020-03-31,19.41,"$1,970"
2020-06-30,21.51,"$1,956"
2020-09-30,21.9,"$2,019"
2020-12-31,21.68,"$1,904"
2021-03-31,18.03,"$1,979"
2021-06-30,20.32,"$1,989"
2021-09-30,18.31,"$2,106"
2021-12-31,20.02,"$2,031"
2022-03-31,25.4,"$2,238"
2022-07-08,26.9,"$2,238"
