Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,9.7,$607
2010-03-31,10.81,$542
2010-06-30,10.35,$561
2010-09-30,12.18,$708
2010-12-31,12.56,$667
2011-03-31,10.17,$688
2011-06-30,8.36,$654
2011-09-30,8.75,$799
2011-12-31,9.51,$665
2012-03-31,11.23,$891
2012-06-30,10.94,$850
2012-09-30,10.09,$917
2012-12-31,11.64,"$1,091"
2013-03-31,13.31,$968
2013-06-30,12.28,$928
2013-09-30,13.29,$964
2013-12-31,14.91,"$1,232"
2015-03-31,14.25,"$1,172"
2015-06-30,11.08,"$1,120"
2015-09-30,7.8,"$1,125"
2016-03-31,8.82,"$1,088"
2016-06-30,10.47,"$1,155"
2016-09-30,9.86,"$1,180"
2016-12-31,10.11,"$1,235"
2017-03-31,10.11,"$1,201"
2017-06-30,11.15,"$1,208"
2017-09-30,17.21,"$1,304"
2017-12-31,16.51,"$1,381"
2018-03-31,17.04,"$1,241"
2018-06-30,16.89,"$1,223"
2018-09-30,12.65,"$1,247"
2018-12-31,13.0,$485
2019-03-31,13.96,"$1,292"
2019-06-30,13.38,"$1,326"
2019-09-30,11.99,"$1,356"
2019-12-31,12.36,"$1,355"
2020-03-31,10.61,"$1,268"
2020-06-30,20.69,"$1,160"
2020-09-30,47.66,"$1,175"
2020-12-31,137.06,"$1,168"
2021-03-31,49.53,"$1,175"
2021-06-30,16.08,"$1,069"
2021-09-30,13.95,"$1,090"
2021-12-31,13.56,"$1,073"
2022-07-08,14.04,"$1,073"
