Date,PE Ratio,Revenue_Amount(Millions)
2017-03-31,19.34,"$1,934"
2017-06-30,22.11,"$4,870"
2017-09-30,46.75,"$7,640"
2017-12-31,0.0,"$8,379"
2018-03-31,0.0,"$8,194"
2018-06-30,0.0,"$8,775"
2018-09-30,0.0,"$9,990"
2018-12-31,8.73,"$10,209"
2019-03-31,11.87,"$9,201"
2019-06-30,10.43,"$10,717"
2019-09-30,10.03,"$11,794"
2019-12-31,34.72,"$11,320"
2020-03-31,0.0,"$10,146"
2020-06-30,0.0,"$7,370"
2020-09-30,0.0,"$10,070"
2020-12-31,0.0,"$10,049"
2021-03-31,7.91,"$9,829"
2021-06-30,8.84,"$11,235"
2021-09-30,7.26,"$12,043"
2021-12-31,9.1,"$13,480"
2022-03-31,0.0,"$13,472"
2022-07-08,0.0,"$13,472"
