Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$29
2010-03-31,0.0,$36
2010-06-30,0.0,$36
2010-09-30,0.0,$35
2010-12-31,16.01,$35
2011-03-31,15.82,$36
2011-06-30,20.06,$40
2011-09-30,17.31,$50
2011-12-31,17.82,$48
2012-03-31,17.08,$48
2012-06-30,13.13,$55
2012-09-30,11.57,$57
2012-12-31,12.33,$69
2013-03-31,12.15,$66
2013-06-30,12.46,$65
2013-09-30,12.26,$67
2013-12-31,13.08,$64
2014-03-31,17.34,$54
2014-06-30,15.95,$66
2014-09-30,14.41,$67
2014-12-31,15.98,$68
2015-03-31,13.0,$65
2015-06-30,14.36,$77
2015-09-30,13.89,$78
2015-12-31,14.26,$81
2016-03-31,12.07,$84
2016-06-30,11.17,$84
2016-09-30,11.36,$89
2016-12-31,16.82,$89
2017-03-31,17.29,$115
2017-06-30,16.86,$117
2017-09-30,18.29,$118
2017-12-31,21.84,$78
2018-03-31,21.2,$125
2018-06-30,20.15,$135
2018-09-30,18.94,$138
2018-12-31,10.6,$142
2019-03-31,10.98,$143
2019-06-30,14.02,$147
2019-09-30,15.11,$155
2019-12-31,15.35,$149
2020-03-31,12.95,$122
2020-06-30,0.0,$121
2020-09-30,0.0,$118
2020-12-31,0.0,$115
2021-03-31,0.0,$114
2021-06-30,19.1,$107
2021-09-30,11.58,$153
2021-12-31,11.65,$97
2022-03-31,11.17,$96
2022-07-08,9.76,$96
