Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,6.92,$296
2010-03-31,6.25,$327
2010-06-30,5.99,$294
2010-09-30,8.42,$327
2010-12-31,9.29,$289
2011-03-31,7.34,$360
2011-06-30,7.24,$361
2011-09-30,3.84,$347
2011-12-31,3.56,$523
2012-03-31,3.46,$490
2012-06-30,2.17,$480
2012-09-30,2.23,$444
2012-12-31,2.79,$620
2013-03-31,2.16,$505
2013-06-30,2.02,$545
2013-09-30,3.27,$585
2013-12-31,3.01,$548
2014-03-31,3.04,$659
2014-06-30,3.99,$568
2014-09-30,4.22,$609
2014-12-31,5.29,$540
2015-03-31,7.3,$624
2015-06-30,5.81,$636
2015-09-30,4.88,"$1,843"
2015-12-31,5.56,$-205
2016-03-31,6.54,$534
2016-06-30,7.02,$627
2016-09-30,7.63,$591
2016-12-31,7.51,$787
2017-03-31,10.16,$611
2017-06-30,11.06,$636
2017-09-30,13.35,$659
2017-12-31,12.36,$996
2018-03-31,10.29,$702
2018-06-30,5.77,$686
2019-06-30,7.22,$825
2019-09-30,2.3,$864
2020-06-30,1.85,$505
2020-09-30,1.54,$506
2021-03-31,1.91,$661
2021-06-30,4.17,$619
2021-09-30,5.09,$652
2021-12-31,3.84,"$1,094"
2022-03-31,4.14,$863
2022-07-08,2.86,$863
