Date,PE Ratio,Revenue_Amount(Millions)
2014-06-30,0.0,$32
2014-09-30,0.0,$34
2014-12-31,0.0,$40
2015-03-31,0.0,$43
2015-06-30,0.0,$43
2015-09-30,0.0,$45
2015-12-31,0.0,$54
2016-03-31,0.0,$55
2016-06-30,0.0,$58
2016-09-30,0.0,$58
2016-12-31,0.0,$66
2017-03-31,0.0,$58
2017-06-30,0.0,$55
2017-09-30,0.0,$56
2017-12-31,0.0,$68
2018-03-31,0.0,$62
2018-06-30,0.0,$61
2018-09-30,0.0,$61
2018-12-31,0.0,$75
2019-03-31,0.0,$68
2019-06-30,0.0,$69
2019-09-30,0.0,$72
2019-12-31,0.0,$87
2020-03-31,0.0,$66
2020-06-30,0.0,$62
2020-09-30,0.0,$64
2020-12-31,0.0,$76
2021-03-31,0.0,$65
2021-06-30,0.0,$61
2021-09-30,0.0,$62
2021-12-31,0.0,$75
2022-03-31,0.0,$61
2022-07-08,0.0,$61
