Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$15
2010-03-31,0.0,$17
2010-06-30,0.0,$27
2010-09-30,0.0,$25
2010-12-31,26.52,$28
2011-03-31,10.35,$26
2011-06-30,20.9,$23
2011-09-30,23.42,$24
2011-12-31,0.0,$23
2012-03-31,0.0,$26
2012-06-30,0.0,$25
2012-09-30,0.0,$25
2012-12-31,41.89,$26
2013-03-31,0.0,$21
2013-06-30,0.0,$22
2013-09-30,0.0,$24
2013-12-31,0.0,$26
2014-03-31,0.0,$23
2014-06-30,0.0,$23
2014-09-30,43.44,$25
2014-12-31,21.67,$26
2015-03-31,12.03,$26
2015-06-30,14.13,$29
2015-09-30,12.71,$26
2015-12-31,12.43,$25
2016-03-31,15.58,$25
2016-06-30,26.57,$23
2016-09-30,49.2,$22
2016-12-31,0.0,$27
2017-03-31,0.0,$23
2017-06-30,0.0,$19
2017-09-30,0.0,$20
2017-12-31,0.0,$19
2018-03-31,0.0,$21
2018-06-30,0.0,$19
2018-09-30,0.0,$17
2018-12-31,0.0,$17
2019-03-31,0.0,$15
2019-06-30,0.0,$14
2019-09-30,0.0,$15
2019-12-31,0.0,$15
2020-03-31,0.0,$17
2020-06-30,0.0,$9
2020-09-30,0.0,$10
2020-12-31,0.0,$11
2021-03-31,0.0,$10
2021-06-30,0.0,$11
2021-09-30,0.0,$11
2021-12-31,0.0,$9
2022-03-31,0.0,$10
2022-07-08,0.0,$10
