Date,PE Ratio,Revenue_Amount(Millions)
2012-09-30,33.59,$67
2012-12-31,23.54,$71
2013-03-31,28.24,$155
2013-06-30,16.4,$123
2013-09-30,28.64,$129
2013-12-31,26.66,$138
2014-03-31,82.83,$129
2014-06-30,0.0,$120
2014-09-30,0.0,$115
2014-12-31,0.0,$122
2015-03-31,0.0,$139
2015-06-30,0.0,$137
2015-09-30,0.0,$139
2015-12-31,0.0,$139
2016-03-31,0.0,$144
2016-06-30,0.0,$165
2016-09-30,0.0,$193
2016-12-31,54.73,$181
2017-03-31,130.71,$146
2017-06-30,51.91,$164
2017-09-30,258.64,$154
2017-12-31,71.59,$174
2018-03-31,28.02,$344
2018-06-30,26.48,$242
2018-09-30,21.25,$280
2018-12-31,0.0,$185
2019-03-31,0.0,$264
2019-06-30,279.89,$267
2019-09-30,59.67,$311
2019-12-31,13.26,$314
2020-03-31,8.6,$380
2020-06-30,12.92,$442
2020-09-30,10.01,$487
2020-12-31,8.8,$480
2021-03-31,6.61,$362
2021-06-30,7.22,$363
2021-09-30,7.72,$511
2021-12-31,9.63,$526
2022-03-31,11.64,$366
2022-07-08,8.54,$366
