Date,PE Ratio,Revenue_Amount(Millions)
2009-10-31,7.47,$194
2010-01-31,7.21,$221
2010-04-30,7.15,$262
2010-07-31,7.14,$235
2010-10-31,7.62,$201
2011-01-31,7.02,$227
2011-04-30,6.95,$274
2011-07-31,7.4,$237
2011-10-31,6.95,$197
2012-01-31,7.07,$224
2012-04-30,7.24,$275
2012-07-31,7.41,$234
2012-10-31,7.74,$200
2013-01-31,8.48,$235
2013-04-30,7.54,$270
2013-07-31,9.22,$232
2013-10-31,9.78,$201
2014-01-31,9.83,$218
2014-04-30,10.17,$285
2014-07-31,10.84,$246
2014-10-31,12.44,$216
2015-01-31,13.5,$240
2015-04-30,12.21,$284
2015-07-31,12.02,$251
2015-10-31,11.4,$225
2016-01-31,11.81,$250
2016-04-30,10.05,$288
2016-07-31,9.87,$239
2016-10-31,8.27,$209
2017-01-31,10.98,$220
2017-04-30,13.4,$240
2017-07-31,19.89,$207
2017-10-31,21.92,$190
2018-01-31,30.03,$213
2018-04-30,32.62,$238
2018-07-31,29.44,$209
2018-10-31,21.59,$190
2019-01-31,10.24,$192
2019-04-30,11.36,$230
2019-07-31,9.29,$213
2019-10-31,10.89,$192
2020-01-31,10.17,$191
2020-04-30,0.0,$101
2020-07-31,0.0,$168
2020-10-31,0.0,$151
2021-01-31,0.0,$155
2021-04-30,79.35,$213
2021-07-31,14.57,$208
2021-10-31,10.49,$172
2022-01-31,9.88,$176
2022-04-30,11.41,$207
2022-07-08,10.03,$207
