Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$138
2010-03-31,0.0,$131
2010-06-30,0.0,$132
2010-09-30,0.0,$124
2010-12-31,0.0,$135
2011-03-31,24.48,$126
2011-06-30,15.42,$127
2011-09-30,9.47,$131
2011-12-31,11.04,$120
2012-03-31,12.08,$119
2012-06-30,10.63,$117
2012-09-30,10.69,$122
2012-12-31,12.01,$117
2013-03-31,12.57,$117
2013-06-30,12.52,$121
2013-09-30,13.85,$119
2013-12-31,14.87,$110
2014-03-31,13.21,$116
2014-06-30,12.69,$114
2014-09-30,11.85,$115
2014-12-31,11.98,$114
2015-03-31,12.92,$113
2015-06-30,13.87,$118
2015-09-30,12.73,$126
2015-12-31,12.91,$129
2016-03-31,11.08,$130
2016-06-30,11.76,$131
2016-09-30,12.24,$133
2016-12-31,14.59,$139
2017-03-31,14.27,$138
2017-06-30,13.26,$142
2017-09-30,13.96,$167
2017-12-31,16.62,$166
2018-03-31,14.7,$165
2018-06-30,13.48,$175
2018-09-30,12.71,$185
2018-12-31,8.87,$195
2019-03-31,8.91,$201
2019-06-30,9.52,$205
2019-09-30,9.13,$208
2019-12-31,9.97,$200
2020-03-31,6.53,$193
2020-06-30,8.12,$190
2020-09-30,7.25,$182
2020-12-31,10.7,$179
2021-03-31,12.26,$173
2021-06-30,10.93,$178
2021-09-30,10.89,$181
2021-12-31,11.13,$189
2022-03-31,11.47,$192
2022-07-08,10.28,$192
