Date,PE Ratio,Revenue_Amount(Millions)
2015-06-30,15.35,"$1,312"
2015-09-30,12.92,"$1,327"
2015-12-31,13.69,"$1,348"
2016-03-31,10.79,"$1,349"
2016-06-30,9.67,"$1,401"
2016-09-30,10.99,"$1,514"
2016-12-31,14.87,"$1,499"
2017-03-31,13.15,"$1,539"
2017-06-30,12.64,"$1,575"
2017-09-30,12.83,"$1,645"
2017-12-31,10.8,"$1,695"
2018-03-31,10.31,"$1,699"
2018-06-30,8.96,"$1,799"
2018-09-30,8.42,"$1,893"
2018-12-31,7.26,"$1,963"
2019-03-31,7.7,"$1,998"
2019-06-30,8.3,"$2,042"
2019-09-30,8.25,"$2,031"
2019-12-31,9.51,"$1,995"
2020-03-31,5.8,"$1,975"
2020-06-30,9.25,"$1,940"
2020-09-30,10.64,"$1,934"
2020-12-31,15.21,"$1,827"
2021-03-31,11.85,"$1,758"
2021-06-30,9.89,"$1,696"
2021-09-30,9.2,"$1,736"
2021-12-31,9.0,"$1,796"
2022-03-31,9.51,"$1,711"
2022-07-08,7.69,"$1,711"
