Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,20.17,$272
2010-03-31,19.93,$245
2010-06-30,15.68,$261
2010-09-30,18.56,$273
2010-12-31,21.82,$319
2011-03-31,22.89,$281
2011-06-30,24.19,$301
2011-09-30,21.62,$308
2011-12-31,20.6,$357
2012-03-31,24.0,$313
2012-06-30,17.9,$329
2012-09-30,16.78,$332
2012-12-31,16.04,$369
2013-03-31,15.56,$323
2013-06-30,16.18,$340
2013-09-30,18.01,$344
2013-12-31,19.66,$387
2014-03-31,20.31,$342
2014-06-30,19.71,$363
2014-09-30,20.13,$370
2014-12-31,22.91,$421
2015-03-31,23.35,$373
2015-06-30,22.35,$395
2015-09-30,21.79,$404
2015-12-31,21.76,$458
2016-03-31,22.84,$404
2016-06-30,20.43,$423
2016-09-30,19.55,$428
2016-12-31,20.11,$487
2017-03-31,23.71,$435
2017-06-30,24.24,$459
2017-09-30,24.42,$455
2017-12-31,21.5,$506
2018-03-31,20.27,$452
2018-06-30,19.46,$468
2018-09-30,23.03,$471
2018-12-31,19.89,$526
2019-03-31,24.56,$472
2019-06-30,22.58,$488
2019-09-30,21.39,$491
2019-12-31,20.36,$544
2020-03-31,18.18,$487
2020-06-30,18.85,$506
2020-09-30,20.5,$509
2020-12-31,22.23,$564
2021-03-31,18.42,$508
2021-06-30,19.1,$526
2021-09-30,18.65,$534
2021-12-31,19.14,$599
2022-03-31,22.82,$543
2022-07-08,20.98,$543
