Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,3.54,$315
2010-03-31,3.42,$331
2010-06-30,5.63,$344
2010-09-30,10.76,$353
2010-12-31,12.53,$346
2011-03-31,12.19,$466
2011-06-30,11.19,$495
2011-09-30,12.2,$501
2011-12-31,21.32,$466
2012-03-31,20.82,$458
2012-06-30,17.77,$474
2012-09-30,17.58,$480
2012-12-31,14.45,$463
2013-03-31,20.99,$461
2013-06-30,22.2,$471
2013-09-30,24.88,$488
2013-12-31,10.61,$470
2014-03-31,11.87,$485
2014-06-30,11.49,$499
2014-09-30,11.83,$511
2014-12-31,0.0,$472
2015-03-31,0.0,$434
2015-06-30,1910.0,$445
2015-09-30,50.8,$442
2015-12-31,15.33,$432
2016-03-31,13.04,$437
2016-06-30,15.87,$437
2016-09-30,21.85,$435
2016-12-31,22.84,$426
2017-03-31,24.67,$438
2017-06-30,30.36,$430
2017-09-30,31.98,$427
2017-12-31,7.75,$437
2018-03-31,7.02,$437
2018-06-30,4.19,$432
2018-09-30,3.94,$426
2018-12-31,0.0,$429
2019-03-31,0.0,$429
2019-06-30,0.0,$452
2019-09-30,0.0,$445
2019-12-31,0.0,$436
2020-03-31,436.2,$478
2020-06-30,25.09,$481
2020-09-30,11.22,$457
2020-12-31,8.21,$453
2021-03-31,8.02,$426
2021-06-30,125.96,$406
2021-09-30,0.0,$451
2021-12-31,0.0,$490
2022-03-31,0.0,$488
2022-07-08,0.0,$488
