Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,9.19,"$1,058"
2010-03-31,11.43,"$1,002"
2010-06-30,9.75,$953
2010-09-30,8.98,"$1,053"
2010-12-31,5.72,"$1,076"
2011-03-31,5.97,"$1,049"
2011-06-30,5.79,"$1,032"
2011-09-30,2.76,$992
2011-12-31,3.95,"$1,051"
2012-03-31,4.8,"$1,124"
2012-06-30,4.72,"$1,065"
2012-09-30,11.62,"$1,093"
2012-12-31,9.25,"$1,061"
2013-03-31,14.05,"$1,143"
2013-06-30,13.9,"$1,082"
2013-09-30,5.95,"$1,094"
2013-12-31,7.11,"$1,158"
2014-03-31,15.1,"$1,085"
2014-06-30,14.75,"$1,093"
2014-09-30,43.59,$967
2014-12-31,54.29,"$1,000"
2015-03-31,9.43,$978
2015-06-30,10.85,$960
2015-09-30,14.86,$905
2015-12-31,11.7,$970
2016-03-31,11.1,$960
2016-06-30,10.21,"$1,004"
2016-09-30,9.41,"$1,016"
2016-12-31,8.29,"$1,005"
2017-03-31,8.45,"$1,071"
2017-06-30,8.08,"$1,057"
2017-09-30,7.5,"$1,079"
2017-12-31,21.84,"$1,090"
2018-03-31,16.9,"$1,008"
2018-06-30,13.41,"$1,046"
2018-09-30,0.0,"$1,481"
2018-12-31,0.0,$778
2019-03-31,0.0,"$1,023"
2019-06-30,0.0,$980
2019-09-30,14.8,$944
2019-12-31,6.39,"$1,069"
2020-03-31,5.34,$717
2020-06-30,5.88,"$1,014"
2020-09-30,4.87,"$1,014"
2020-12-31,10.09,"$1,076"
2021-03-31,7.02,"$1,006"
2021-06-30,6.84,"$1,073"
2021-09-30,7.16,$968
2021-12-31,7.01,"$1,075"
2022-03-31,7.76,$843
2022-07-08,5.51,$843
