Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,11.31,$92
2010-03-31,9.58,$153
2010-06-30,9.3,$80
2010-09-30,10.3,$76
2010-12-31,11.78,$118
2011-03-31,12.08,$147
2011-06-30,11.64,$87
2011-09-30,11.43,$81
2011-12-31,12.06,$104
2012-03-31,12.98,$121
2012-06-30,13.14,$84
2012-09-30,13.94,$78
2012-12-31,12.61,$110
2013-03-31,11.99,$141
2013-06-30,12.95,$94
2013-09-30,13.03,$87
2013-12-31,15.09,$123
2014-03-31,14.76,$186
2014-06-30,16.41,$100
2014-09-30,14.73,$92
2014-12-31,17.5,$120
2015-03-31,16.43,$170
2015-06-30,17.21,$93
2015-09-30,16.41,$92
2015-12-31,18.48,$105
2016-03-31,21.47,$146
2016-06-30,21.77,$102
2016-09-30,20.49,$108
2016-12-31,21.23,$142
2017-03-31,23.34,$185
2017-06-30,26.88,$125
2017-09-30,26.82,$127
2017-12-31,20.48,$12
2018-03-31,16.27,$239
2018-06-30,18.49,$137
2018-09-30,19.88,$93
2018-12-31,22.2,$21
2019-03-31,24.3,$160
2019-06-30,24.66,$95
2019-09-30,24.85,$93
2019-12-31,23.25,$132
2020-03-31,20.78,$153
2020-06-30,19.68,$97
2020-09-30,18.86,$101
2020-12-31,24.82,$137
2021-03-31,25.53,$191
2021-06-30,25.87,$111
2021-09-30,25.09,$107
2021-12-31,30.58,$160
2022-03-31,28.28,$223
2022-07-08,25.84,$223
