Date,PE Ratio,Revenue_Amount(Millions)
2009-10-31,19.5,$185
2010-01-31,19.29,$177
2010-04-30,20.16,$220
2010-07-31,20.36,$190
2010-10-31,18.6,$213
2011-01-31,21.1,$207
2011-04-30,22.14,$237
2011-07-31,19.66,$215
2011-10-31,18.3,$226
2012-01-31,18.52,$228
2012-04-30,19.64,$244
2012-07-31,16.97,$227
2012-10-31,19.86,$239
2013-01-31,24.77,$266
2013-04-30,24.65,$278
2013-07-31,23.22,$264
2013-10-31,23.7,$280
2014-01-31,24.49,$286
2014-04-30,27.9,$310
2014-07-31,24.36,$287
2014-10-31,23.06,$290
2015-01-31,24.4,$276
2015-04-30,21.82,$297
2015-07-31,21.45,$282
2015-10-31,21.3,$289
2016-01-31,18.83,$300
2016-04-30,21.64,$347
2016-07-31,22.42,$333
2016-10-31,16.19,$346
2017-01-31,17.09,$350
2017-04-30,17.97,$374
2017-07-31,18.91,$379
2017-10-31,28.35,$419
2018-01-31,30.82,$459
2018-04-30,32.54,$478
2018-07-31,33.37,$449
2018-10-31,26.16,$461
2019-01-31,25.44,$485
2019-04-30,29.53,$553
2019-07-31,31.39,$543
2019-10-31,28.4,$554
2020-01-31,33.05,$575
2020-04-30,27.82,$550
2020-07-31,31.83,$526
2020-10-31,38.72,$593
2021-01-31,37.2,$617
2021-04-30,35.37,$734
2021-07-31,37.79,$749
2021-10-31,37.51,$810
2022-01-31,28.6,$867
2022-04-30,25.31,$940
2022-07-08,25.5,$940
