Date,PE Ratio,Revenue_Amount(Millions)
2009-10-31,19.2,$127
2010-01-31,21.37,$170
2010-04-30,18.63,$181
2010-07-31,17.87,$129
2010-10-31,12.47,$140
2011-01-31,14.95,$172
2011-04-30,14.84,$189
2011-07-31,17.46,$130
2011-10-31,36.14,$143
2012-01-31,0.0,$178
2012-04-30,0.0,$198
2012-07-31,0.0,$132
2012-10-31,0.0,$149
2013-01-31,0.0,$176
2013-04-30,0.0,$182
2013-07-31,0.0,$138
2013-10-31,0.0,$145
2014-01-31,373.36,$157
2014-04-30,68.95,$188
2014-07-31,43.74,$145
2014-10-31,54.21,$157
2015-01-31,35.61,$181
2015-04-30,29.13,$195
2015-07-31,24.42,$154
2015-10-31,22.6,$159
2016-01-31,18.82,$176
2016-04-30,19.0,$194
2016-07-31,18.12,$155
2016-10-31,24.45,$161
2017-01-31,16.77,$186
2017-04-30,19.7,$200
2017-07-31,23.33,$166
2017-10-31,20.53,$177
2018-01-31,22.25,$212
2018-04-30,23.75,$211
2018-07-31,18.4,$182
2018-10-31,17.5,$175
2019-01-31,12.37,$201
2019-04-30,12.62,$205
2019-07-31,12.32,$183
2019-10-31,15.01,$183
2020-01-31,16.22,$211
2020-04-30,0.0,$116
2020-07-31,26.49,$216
2020-10-31,18.52,$199
2021-01-31,24.79,$252
2021-04-30,13.75,$285
2021-07-31,11.28,$237
2021-10-31,10.41,$228
2022-01-31,7.19,$241
2022-04-30,3.92,$208
2022-07-08,3.48,$208
