Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,30.99,$451
2010-03-31,29.37,$414
2010-06-30,25.71,$458
2010-09-30,36.61,$472
2010-12-31,36.19,$530
2011-03-31,35.66,$491
2011-06-30,34.87,$531
2011-09-30,23.37,$565
2011-12-31,24.78,$619
2012-03-31,32.54,$589
2012-06-30,33.54,$615
2012-09-30,31.9,$641
2012-12-31,27.06,$740
2013-03-31,30.41,$673
2013-06-30,27.73,$730
2013-09-30,32.43,$713
2013-12-31,26.81,$802
2014-03-31,24.62,$751
2014-06-30,27.26,$782
2014-09-30,33.37,$759
2014-12-31,33.07,$851
2015-03-31,36.03,$761
2015-06-30,31.85,$797
2015-09-30,30.37,$813
2015-12-31,28.87,$275
2016-03-31,25.43,$659
2016-06-30,24.57,$674
2016-09-30,21.86,$669
2016-12-31,20.09,$735
2017-03-31,26.31,$663
2017-06-30,25.7,$693
2017-09-30,24.98,$691
2017-12-31,0.0,$778
2018-03-31,153.46,$697
2018-06-30,164.84,$742
2018-09-30,122.55,$732
2018-12-31,24.96,$802
2019-03-31,25.73,$719
2019-06-30,25.63,$749
2019-09-30,20.1,$733
2019-12-31,21.3,$810
2020-03-31,24.22,$861
2020-06-30,24.51,$799
2020-09-30,29.07,$767
2020-12-31,32.16,$810
2021-03-31,42.32,$776
2021-06-30,40.39,$812
2021-09-30,42.58,$778
2021-12-31,38.93,$851
2022-03-31,46.07,$825
2022-07-08,45.31,$825
