Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,18.71,$106
2010-03-31,18.31,$104
2010-06-30,13.85,$103
2010-09-30,18.32,$99
2010-12-31,11.6,$102
2011-03-31,13.74,$100
2011-06-30,22.12,$108
2011-09-30,31.87,$185
2011-12-31,0.0,$188
2012-03-31,0.0,$184
2012-06-30,0.0,$185
2012-09-30,0.0,$184
2012-12-31,10.43,$194
2013-03-31,11.85,$176
2013-06-30,12.81,$191
2013-09-30,17.93,$181
2013-12-31,34.66,$188
2014-03-31,26.95,$180
2014-06-30,25.87,$187
2014-09-30,33.02,$188
2014-12-31,14.78,$188
2015-03-31,23.33,$173
2015-06-30,37.75,$175
2015-09-30,0.0,$162
2015-12-31,0.0,$157
2016-03-31,0.0,$142
2016-06-30,0.0,$133
2016-09-30,0.0,$133
2016-12-31,11.41,$142
2017-03-31,23.79,$136
2017-06-30,26.32,$141
2017-09-30,27.39,$139
2017-12-31,16.35,$142
2018-03-31,17.07,$150
2018-06-30,20.81,$155
2018-09-30,26.52,$160
2018-12-31,46.56,$164
2019-03-31,36.27,$173
2019-06-30,26.2,$180
2019-09-30,20.58,$181
2019-12-31,18.37,$187
2020-03-31,8.94,$173
2020-06-30,13.67,$147
2020-09-30,13.77,$150
2020-12-31,22.01,$158
2021-03-31,25.86,$157
2021-06-30,21.15,$160
2021-09-30,17.85,$163
2021-12-31,4.22,$165
2022-03-31,4.69,$163
2022-07-08,3.82,$163
