Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,4.23,$24
2010-03-31,10.41,$22
2010-06-30,83.8,$21
2010-09-30,26.36,$23
2010-12-31,16.33,$23
2011-03-31,9.33,$22
2011-06-30,5.21,$26
2011-09-30,0.0,$27
2011-12-31,0.0,$25
2012-03-31,0.0,$28
2012-06-30,0.0,$24
2012-09-30,0.0,$25
2012-12-31,0.0,$21
2013-03-31,0.0,$19
2013-06-30,0.0,$19
2013-09-30,0.0,$17
2013-12-31,0.0,$31
2014-03-31,0.0,$25
2014-06-30,45.11,$19
2014-09-30,13.94,$34
2014-12-31,51.86,$73
2015-03-31,11.73,$96
2015-06-30,6.47,$83
2015-09-30,4.12,$92
2015-12-31,4.61,$95
2016-03-31,3.27,$108
2016-06-30,2.74,$99
2016-09-30,20.77,$65
2016-12-31,0.0,$85
2017-03-31,0.0,$92
2017-06-30,0.0,$86
2017-09-30,8.76,$84
2017-12-31,26.2,$92
2018-03-31,0.0,$80
2018-06-30,0.0,$67
2018-09-30,0.0,$90
2018-12-31,0.0,$139
2019-03-31,0.0,$132
2019-06-30,0.0,$106
2019-09-30,78.46,$105
2019-12-31,14.18,$192
2020-03-31,8.12,$212
2020-06-30,2.68,$246
2020-09-30,2.38,$142
2020-12-31,3.18,$91
2021-03-31,4.72,$87
2021-06-30,15.24,$66
2021-09-30,0.0,$59
2021-12-31,0.0,$88
2022-03-31,0.0,$76
2022-07-08,0.0,$76
