Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$36
2010-03-31,0.0,$31
2010-06-30,0.0,$33
2010-09-30,0.0,$34
2010-12-31,0.0,$31
2011-03-31,0.0,$30
2011-06-30,0.0,$31
2011-09-30,0.0,$30
2011-12-31,0.0,$33
2012-03-31,0.0,$27
2012-06-30,0.0,$31
2012-09-30,0.0,$29
2012-12-31,0.0,$28
2013-03-31,0.0,$28
2013-06-30,0.0,$30
2013-09-30,28.64,$32
2013-12-31,41.08,$32
2014-03-31,32.46,$29
2014-06-30,28.18,$32
2014-09-30,0.0,$29
2014-12-31,0.0,$49
2015-03-31,0.0,$27
2015-06-30,0.0,$27
2015-09-30,0.0,$23
2015-12-31,0.0,$62
2016-03-31,0.0,$21
2016-06-30,0.0,$23
2016-09-30,0.0,$31
2016-12-31,0.0,$76
2017-03-31,0.0,$52
2017-06-30,0.0,$60
2017-09-30,0.0,$66
2017-12-31,115.75,$69
2018-03-31,36.9,$60
2018-06-30,22.18,$76
2018-09-30,30.85,$72
2018-12-31,115.92,$75
2019-03-31,0.0,$74
2019-06-30,216.5,$84
2019-09-30,0.0,$72
2019-12-31,0.0,$78
2020-03-31,0.0,$47
2020-06-30,0.0,$71
2020-09-30,0.0,$94
2020-12-31,0.0,$89
2021-03-31,0.0,$81
2021-06-30,0.0,$83
2021-09-30,0.0,$88
2021-12-31,0.0,$98
2022-03-31,0.0,$77
2022-07-08,0.0,$77
