Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,14.04,$42
2010-03-31,26.95,$54
2010-06-30,27.13,$66
2010-09-30,23.97,$73
2010-12-31,22.33,$72
2011-03-31,26.57,$87
2011-06-30,68.32,$76
2011-09-30,0.0,$80
2011-12-31,0.0,$70
2012-03-31,0.0,$53
2012-06-30,0.0,$49
2012-09-30,0.0,$47
2012-12-31,0.0,$43
2013-03-31,0.0,$72
2013-06-30,0.0,$44
2013-09-30,0.0,$39
2013-12-31,0.0,$47
2014-03-31,0.0,$46
2014-06-30,0.0,$42
2014-09-30,0.0,$30
2014-12-31,0.0,$36
2015-03-31,0.0,$26
2015-06-30,0.0,$23
2015-09-30,0.0,$29
2015-12-31,0.0,$26
2016-03-31,0.0,$21
2016-06-30,0.0,$26
2016-09-30,0.0,$36
2016-12-31,0.0,$42
2017-03-31,0.0,$46
2017-06-30,0.0,$54
2017-09-30,0.0,$63
2017-12-31,0.0,$75
2018-03-31,0.0,$79
2018-06-30,0.0,$75
2018-09-30,0.0,$69
2018-12-31,22.86,$87
2019-03-31,23.06,$77
2019-06-30,93.55,$69
2019-09-30,0.0,$74
2019-12-31,0.0,$71
2020-03-31,0.0,$74
2020-06-30,0.0,$57
2020-09-30,0.0,$68
2020-12-31,0.0,$75
2021-03-31,0.0,$97
2021-06-30,84.52,$130
2021-09-30,6.92,$183
2021-12-31,3.59,$185
2022-03-31,4.61,$184
2022-07-08,3.12,$184
