Date,PE Ratio,Revenue_Amount(Millions)
2016-09-30,18.22,$17
2016-12-31,30.01,$21
2017-03-31,28.6,$27
2017-06-30,23.89,$29
2017-09-30,25.9,$29
2017-12-31,21.51,$34
2018-03-31,21.42,$38
2018-06-30,23.6,$43
2018-09-30,19.73,$48
2018-12-31,15.31,$51
2019-03-31,19.8,$49
2019-06-30,16.71,$51
2019-09-30,16.59,$51
2019-12-31,18.87,$50
2020-03-31,8.71,$46
2020-06-30,11.59,$44
2020-09-30,0.0,$44
2020-12-31,0.0,$48
2021-03-31,0.0,$43
2021-06-30,0.0,$47
2021-09-30,8.98,$50
2021-12-31,9.76,$50
2022-03-31,9.56,$52
2022-07-08,8.61,$52
